year,round,pick,team,player_name,position,college,age,career_av,draft_av,games_played
2015,1,1,TB,Jameis Winston,QB,Florida State,,,,
2015,1,2,TEN,Marcus Mariota,QB,Oregon,,,,
2015,1,3,JAX,Dante Fowler Jr.,DE,Florida,,,,
2015,1,4,,Amari Cooper,WR,Alabama,,,,
2015,1,5,,Brandon Scherff,OT,Iowa,,,,
2015,1,6,NYJ,Leonard Williams,DE,USC,,,,
2015,1,7,CHI,Kevin White,WR,West Virginia,,,,
2015,1,8,ATL,Vic Beasley,OLB,Clemson,,,,
2015,1,9,NYG,Ereck Flowers,OT,Miami,,,,
2015,1,10,,Todd Gurley,RB,Georgia,,,,
2015,1,11,MIN,Trae Waynes,CB,Michigan State,,,,
2015,1,12,CLE,Danny Shelton,DT,Washington,,,,
2015,1,13,NO,Andrus Peat,OT,Stanford,,,,
2015,1,14,MIA,DeVante Parker,WR,Louisville,,,,
2015,1,15,,Melvin Gordon,RB,Wisconsin,,,,
2015,1,16,HOU,Kevin Johnson,CB,Wake Forest,,,,
2015,1,17,SF,Arik Armstead,DE,Oregon,,,,
2015,1,18,KC,Marcus Peters,CB,Washington,,,,
2015,1,19,CLE,Cameron Erving,C,Florida State,,,,
2015,1,20,PHI,Nelson Agholor,WR,USC,,,,
2015,1,21,CIN,Cedric Ogbuehi,OT,Texas A&M,,,,
2015,1,22,PIT,Bud Dupree,OLB,Kentucky,,,,
2015,1,23,DEN,Shane Ray,OLB,Missouri,,,,
2015,1,24,ARI,D.J. Humphries,OT,Florida,,,,
2015,1,25,CAR,Shaq Thompson,OLB,Washington,,,,
2015,1,26,BAL,Breshad Perriman,WR,UCF,,,,
2015,1,27,DAL,Byron Jones,CB,Connecticut,,,,
2015,1,28,DET,Laken Tomlinson,OG,Duke,,,,
2015,1,29,IND,Phillip Dorsett,WR,Miami,,,,
2015,1,30,GB,Damarious Randall,S,Arizona State,,,,
2015,1,31,NO,Stephone Anthony,ILB,Clemson,,,,
2015,1,32,NE,Malcom Brown,DT,Texas,,,,
2015,2,33,NYG,Landon Collins,S,Alabama,,,,
2015,2,34,TB,Donovan Smith,OT,Penn State,,,,
2015,2,35,,Mario Edwards Jr.,DE,Florida State,,,,
2015,2,36,JAX,T.J. Yeldon,RB,Alabama,,,,
2015,2,37,NYJ,Devin Smith,WR,Ohio State,,,,
2015,2,38,,Preston Smith,DE,Mississippi State,,,,
2015,2,39,CHI,Eddie Goldman,DT,Florida State,,,,
2015,2,40,TEN,Dorial Green-Beckham,WR,Missouri,,,,
2015,2,41,CAR,Devin Funchess,WR,Michigan,,,,
2015,2,42,ATL,Jalen Collins,CB,LSU,,,,
2015,2,43,HOU,Benardrick McKinney,ILB,Mississippi State,,,,
2015,2,44,NO,Hau'Oli Kikaha,OLB,Washington,,,,
2015,2,45,MIN,Eric Kendricks,ILB,UCLA,,,,
2015,2,46,SF,Jaquiski Tartt,S,Samford,,,,
2015,2,47,PHI,Eric Rowe,CB,Utah,,,,
2015,2,48,,Denzel Perryman,ILB,Miami,,,,
2015,2,49,KC,Mitch Morse,OG,Missouri,,,,
2015,2,50,BUF,Ronald Darby,CB,Florida State,,,,
2015,2,51,CLE,Nate Orchard,OLB,Utah,,,,
2015,2,52,MIA,Jordan Phillips,DT,Oklahoma,,,,
2015,2,53,CIN,Jake Fisher,OT,Oregon,,,,
2015,2,54,DET,Ameer Abdullah,RB,Nebraska,,,,
2015,2,55,BAL,Maxx Williams,TE,Minnesota,,,,
2015,2,56,PIT,Senquez Golson,CB,Ole Miss,,,,
2015,2,57,,Robert Havenstein,OT,Wisconsin,,,,
2015,2,58,ARI,Markus Golden,DE,Missouri,,,,
2015,2,59,DEN,Ty Sambrailo,OT,Colorado State,,,,
2015,2,60,DAL,Randy Gregory,OLB,Nebraska,,,,
2015,2,61,TB,Ali Marpet,OG,Hobart,,,,
2015,2,62,GB,Quinten Rollins,CB,Miami (OH),,,,
2015,2,63,SEA,Frank Clark,DE,Michigan,,,,
2015,2,64,NE,Jordan Richards,S,Stanford,,,,
2015,3,65,IND,D'Joun Smith,CB,Florida Atlantic,,,,
2015,3,66,TEN,Jeremiah Poutasi,OG,Utah,,,,
2015,3,67,JAX,A.J. Cann,OG,South Carolina,,,,
2015,3,68,,Clive Walford,TE,Miami,,,,
2015,3,69,SEA,Tyler Lockett,WR,Kansas State,,,,
2015,3,70,HOU,Jaelen Strong,WR,Arizona State,,,,
2015,3,71,CHI,Hroniss Grasu,C,Oregon,,,,
2015,3,72,,Jamon Brown,OT,Louisville,,,,
2015,3,73,ATL,Tevin Coleman,RB,Indiana,,,,
2015,3,74,NYG,Owa Odighizuwa,DE,UCLA,,,,
2015,3,75,NO,Garrett Grayson,QB,Colorado State,,,,
2015,3,76,KC,Chris Conley,WR,Georgia,,,,
2015,3,77,CLE,Duke Johnson,RB,Miami,,,,
2015,3,78,NO,P.J. Williams,CB,Florida State,,,,
2015,3,79,SF,Eli Harold,OLB,Virginia,,,,
2015,3,80,DET,Alex Carter,CB,Stanford,,,,
2015,3,81,BUF,John Miller,OG,Louisville,,,,
2015,3,82,NYJ,Lorenzo Mauldin,OLB,Louisville,,,,
2015,3,83,,Craig Mager,CB,Texas State,,,,
2015,3,84,PHI,Jordan Hicks,ILB,Texas,,,,
2015,3,85,CIN,Tyler Kroft,TE,Rutgers,,,,
2015,3,86,ARI,David Johnson,RB,Northern Iowa,,,,
2015,3,87,PIT,Sammie Coates,WR,Auburn,,,,
2015,3,88,MIN,Danielle Hunter,DE,LSU,,,,
2015,3,89,,Sean Mannion,QB,Oregon State,,,,
2015,3,90,BAL,Carl Davis,DT,Iowa,,,,
2015,3,91,DAL,Chaz Green,OT,Florida,,,,
2015,3,92,DEN,Jeff Heuerman,TE,Ohio State,,,,
2015,3,93,IND,Henry Anderson,DE,Stanford,,,,
2015,3,94,GB,Ty Montgomery,WR,Stanford,,,,
2015,3,95,,Matt Jones,RB,Florida,,,,
2015,3,96,CLE,Xavier Cooper,DT,Washington State,,,,
2015,3,97,NE,Geneo Grissom,DE,Oklahoma,,,,
2015,3,98,KC,Steven Nelson,CB,Oregon State,,,,
