year,pick,player_name,position,college,projected_team,source
2024,1,Caleb Williams,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,2,Jayden Daniels,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,3,Drake Maye,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,4,Malik Nabers,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,5,J.J. McCarthy,,MOCK TRADE from LAC,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,6,Marvin Harrison Jr.,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,7,Joe Alt,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,8,Jared Verse,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,9,Dallas Turner,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,10,Rome Odunze,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,11,JC Latham,,MOCK TRADE from MIN,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,12,Terrion Arnold,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,13,Michael Penix Jr.,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,14,Olumuyiwa Fashanu,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,15,Quinyon Mitchell,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,16,Troy Fautanu,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,17,Byron Murphy II,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,18,Brock Bowers,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,19,Johnny Newton,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,20,Taliese Fuaga,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,21,Jackson Powers-Johnson,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,22,Cooper DeJean,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,23,Brian Thomas Jr.,,MOCK TRADE from MIN,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,24,Amarius Mims,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,25,Kool-Aid McKinstry,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
