player_name,team,position,signed_year,years,total_value,guaranteed,aav,cap_pct
Warren Sapp,Buccaneers,DT,1998,5,35.3825,8.65,7.0765,13.5
Ndamukong Suh,Dolphins,DT,2015,6,114.375,59.955,19.0625,13.3
Richard Seymour,Raiders,DT,2011,2,30.0,22.5,15.0,12.5
Chris Jones,Chiefs,DT,2024,5,158.75,60.0,31.75,12.4
John Randle,Vikings,DT,1998,5,32.5,20.0,6.5,12.4
Jeffery Simmons,Titans,DT,2026,3,105.828,60.2,35.276,11.7
Trevor Pryce,Broncos,DT,2001,8,59.9,10.6,7.4875,11.1
Marcell Dareus,BUF/JAX,DT,2015,6,95.1,42.9,15.85,11.1
Fletcher Cox,Eagles,DT,2016,6,102.6,36.299,17.1,11.0
Christian Wilkins,Raiders,DT,2024,4,110.0,57.5,27.5,10.8
Quinnen Williams,NYJ/DAL,DT,2023,4,96.0,47.835,24.0,10.7
DeForest Buckner,Colts,DT,2020,4,84.0,39.378,21.0,10.6
Jeffery Simmons,Titans,DT,2023,4,94.0,47.83,23.5,10.5
Paul Soliai,Dolphins,DT,2011,1,12.476,12.476,12.476,10.4
Gerald McCoy,Buccaneers,DT,2014,7,95.2,14.757308,13.6,10.2
Haloti Ngata,Lions,DT,2011,1,61.0,25.0,12.2,10.1
Chris Jones,Chiefs,DT,2020,4,80.0,37.626,20.0,10.1
Richard Seymour,Raiders,DT,2010,1,12.975,12.975,12.975,10.1
Dexter Lawrence,NYG/CIN,DT,2023,4,90.0,46.5,22.5,10.0
Daron Payne,Commanders,DT,2023,4,90.0,46.01,22.5,10.0
Jonathan Allen,Commanders,DT,2021,4,72.0,33.142235,18.0,9.9
Vita Vea,Buccaneers,DT,2021,4,71.0,14.73444,17.75,9.7
Nnamdi Madubuike,Ravens,DT,2024,4,98.0,53.5,24.5,9.6
Alim McNeill,Lions,DT,2024,4,97.0,28.060667,24.25,9.5
Derrick Brown,Panthers,DT,2024,4,96.0,41.165,24.0,9.4
Javon Hargrave,49ers,DT,2023,4,84.0,40.0,21.0,9.3
Milton Williams,Patriots,DT,2025,4,104.0,51.0,26.0,9.3
Ndamukong Suh,Lions,DT,2010,5,60.0,23.25,12.0,9.3
Dexter Lawrence,Bengals,DT,2026,1,28.0,10.0,28.0,9.3
Albert Haynesworth,Commanders,DT,2009,7,80.0,39.8,11.428571,9.3
Geno Atkins,Bengals,DT,2018,4,65.2,17.0,16.3,9.2
Malik Jackson,Jaguars,DT,2016,6,85.5,31.5,14.25,9.2
Richard Seymour,LV/NE,DT,2006,3,27.98,24.6,9.326667,9.1
Grady Jarrett,Falcons,DT,2019,4,68.0,38.0,17.0,9.0
DeForest Buckner,Colts,DT,2024,2,46.0,43.25,23.0,9.0
Luther Elliss,Lions,DT,1999,7,35.5,10.0,5.071429,8.9
Kenny Clark,Packers,DT,2020,4,70.0,25.0,17.5,8.8
John Randle,Vikings,DT,1995,2,6.437333,2.25,3.218667,8.7
Geno Atkins,Bengals,DT,2013,5,53.327,15.0,10.6654,8.7
Nnamdi Madubuike,Ravens,DT,2024,1,22.102,0.0,22.102,8.7
Jordan Davis,Eagles,DT,2026,3,78.0,38.938,26.0,8.6
Gerald McCoy,Buccaneers,DT,2010,5,55.0,20.8125,11.0,8.5
Daron Payne,Commanders,DT,2023,1,18.937,0.0,18.937,8.4
Kenny Clark,DAL/GB,DT,2024,3,64.0,17.5,21.333333,8.4
Christian Barmore,Patriots,DT,2024,4,84.0,31.822128,21.0,8.2
Chris Jones,Chiefs,DT,2020,1,16.126,16.126,16.126,8.1
Grady Jarrett,Falcons,DT,2019,1,15.209,0.0,15.209,8.1
Tyson Jackson,Chiefs,DT,2009,5,49.0,15.73,9.8,8.0
Grady Jarrett,Falcons,DT,2022,3,49.5,34.470588,16.5,7.9
Ndamukong Suh,Rams,DT,2018,1,14.0,14.0,14.0,7.9
Dre'Mont Jones,Seahawks,DT,2023,3,51.53,23.0,17.176667,7.6
Ed Oliver,Bills,DT,2023,4,68.0,24.528,17.0,7.6
Linval Joseph,Vikings,DT,2017,4,50.0,11.15,12.5,7.5
Marcell Dareus,Jaguars,DT,2019,2,28.085,7.835,14.0425,7.5
John Randle,Seahawks,DT,2001,5,25.0,5.0,5.0,7.4
Timmy Jernigan,Eagles,DT,2017,4,48.0,13.478903,12.0,7.2
Osa Odighizuwa,DAL/SF,DT,2025,4,80.0,39.0,20.0,7.2
Kyle Williams,Bills,DT,2015,1,10.0,4.5,10.0,7.0
Henry Melton,Bears,DT,2013,1,8.45,8.45,8.45,6.9
Randy Starks,Dolphins,DT,2013,1,8.45,8.45,8.45,6.9
Zach Allen,Broncos,DT,2023,3,45.75,32.5,15.25,6.8
Fletcher Cox,Eagles,DT,2022,1,14.0,14.0,14.0,6.7
D.J. Reader,Bengals,DT,2020,4,53.0,20.25,13.25,6.7
