player_name,team,position,signed_year,years,total_value,guaranteed,aav,cap_pct
Michael Strahan,Giants,EDGE,1999,3,29.3,12.0,9.766667,17.0
Micah Parsons,Packers,EDGE,2025,4,186.0,120.0,46.5,16.7
Will Anderson Jr.,Texans,EDGE,2026,3,150.0,100.063749,50.0,16.6
Aidan Hutchinson,Lions,EDGE,2025,4,180.0,55.722,45.0,16.1
T.J. Watt,Steelers,EDGE,2021,4,112.011,80.0,28.00275,15.3
Nick Bosa,49ers,EDGE,2023,5,170.0,88.0,34.0,15.1
T.J. Watt,Steelers,EDGE,2025,3,123.0,108.0,41.0,14.7
Myles Garrett,LAR/CLE,EDGE,2025,4,160.0,88.8,40.0,14.3
Joey Bosa,Chargers,EDGE,2020,5,135.0,78.0,27.0,13.6
Julius Peppers,Panthers,EDGE,2009,1,16.683,16.683,16.683,13.6
Danielle Hunter,Texans,EDGE,2026,1,40.1,39.6,40.1,13.3
Mario Williams,Bills,EDGE,2012,6,96.0,24.9,16.0,13.3
Khalil Mack,CHI/LAC,EDGE,2018,6,141.0,60.0,23.5,13.3
Danielle Hunter,Texans,EDGE,2025,2,55.1,54.1,35.6,12.8
Maxx Crosby,LV/BAL,EDGE,2025,3,106.5,62.5,35.5,12.7
Clark Haggans,Steelers,EDGE,2004,4,10.2,3.0,10.2,12.7
Myles Garrett,Browns,EDGE,2020,5,125.0,50.0,25.0,12.6
Von Miller,LAR/DEN,EDGE,2016,6,114.5,42.0,19.083333,12.3
Justin Houston,Chiefs,EDGE,2015,6,101.0,32.5,16.833333,11.7
Maxx Crosby,Raiders,EDGE,2022,4,94.0,26.515,23.5,11.3
Demarcus Lawrence,Cowboys,EDGE,2019,5,105.0,48.0,21.0,11.2
Josh Hines-Allen,Jaguars,EDGE,2024,5,141.25,76.5,28.25,11.1
Frank Clark,Chiefs,EDGE,2019,5,104.0,43.805,20.8,11.1
Brian Burns,Giants,EDGE,2024,5,141.0,76.0,28.2,11.0
Dwight Freeney,Colts,EDGE,2007,6,78.0,15.0,12.0,11.0
Olivier Vernon,CLE/NYG,EDGE,2016,5,85.0,40.0,17.0,10.9
Demarcus Lawrence,Cowboys,EDGE,2019,1,20.5716,0.0,20.5716,10.9
Montez Sweat,Bears,EDGE,2023,4,98.0,41.965,24.5,10.9
Julius Peppers,Bears,EDGE,2010,6,84.0,19.9,14.0,10.9
Clay Matthews,Packers,EDGE,2013,5,66.0,20.5,13.2,10.7
Robert Quinn,LAR/MIA/DAL,EDGE,2014,4,57.014895,15.618583,14.253724,10.7
Rashan Gary,GB/DAL,EDGE,2023,4,96.0,34.636928,24.0,10.7
DeMarcus Ware,Cowboys,EDGE,2009,6,78.0,25.591176,13.0,10.6
Bradley Chubb,Dolphins,EDGE,2022,5,110.0,33.462444,22.0,10.6
Jared Allen,Vikings,EDGE,2008,6,73.260069,15.500069,12.210012,10.5
Charles Johnson,Panthers,EDGE,2011,6,76.0,32.0,12.666667,10.5
Trey Hendrickson,Bengals,EDGE,2025,1,29.0,20.0,29.0,10.4
Courtney Brown,Browns,EDGE,2000,7,44.939436,10.88025,6.419919,10.3
Trent Cole,Eagles,EDGE,2012,4,48.525,14.5,12.13125,10.1
Chris Long,Rams,EDGE,2012,4,48.19,23.55,12.0475,10.0
Jonathan Greenard,Eagles,EDGE,2026,2,60.0,50.0,30.0,10.0
Jaelan Phillips,Panthers,EDGE,2026,4,120.0,60.0,30.0,10.0
Chandler Jones,Cardinals,EDGE,2017,5,82.5,31.0,16.5,9.9
Greg Hardy,Panthers,EDGE,2014,1,13.116,13.116,13.116,9.9
Ezekiel Ansah,Lions,EDGE,2018,1,17.143,17.143,17.143,9.7
Demarcus Lawrence,Cowboys,EDGE,2018,1,17.143,17.143,17.143,9.7
Von Miller,Bills,EDGE,2022,6,120.0,45.0,20.0,9.6
Danielle Hunter,Texans,EDGE,2024,2,49.0,48.0,24.5,9.6
Melvin Ingram,Chargers,EDGE,2017,4,64.0,34.0,16.0,9.6
Trey Flowers,Lions,EDGE,2019,5,90.0,50.0,18.0,9.6
Tamba Hali,Chiefs,EDGE,2011,5,57.5,16.0,11.5,9.6
Nik Bonitto,Broncos,EDGE,2025,4,106.0,38.346,26.5,9.5
Brian Burns,Panthers,EDGE,2024,1,24.007,0.0,24.007,9.4
Josh Hines-Allen,Jaguars,EDGE,2024,1,24.007,0.0,24.007,9.4
Trey Hendrickson,Bengals,EDGE,2023,1,21.0,8.0,21.0,9.3
Reggie White,Packers,EDGE,1996,5,19.0,3.0,3.8,9.3
Shaquil Barrett,Buccaneers,EDGE,2021,4,68.0,34.5,17.0,9.3
Cameron Jordan,Saints,EDGE,2019,3,52.5,27.935,17.5,9.3
Trey Hendrickson,Ravens,EDGE,2026,4,112.0,60.0,28.0,9.3
Michael Strahan,Giants,EDGE,1996,3,11.365,3.5,3.788333,9.3
Jason Pierre-Paul,NYG/TB,EDGE,2017,4,62.0,29.0,15.5,9.3
Julius Peppers,Panthers,EDGE,2002,7,46.0,13.15,6.571429,9.2
Travon Walker,Jaguars,EDGE,2026,4,110.0,50.0,27.5,9.1
Courtney Brown,Browns,EDGE,2004,2,14.7,2.0,7.35,9.1
Courtney Brown,Browns,EDGE,2003,3,20.5,1.0,6.833333,9.1
Frank Clark,Seahawks,EDGE,2019,1,17.128,0.0,17.128,9.1
Michael Johnson,Bengals,EDGE,2013,1,11.175,11.175,11.175,9.1
