player_name,team,position,signed_year,years,total_value,guaranteed,aav,cap_pct
Phil Dawson,Browns,K,2012,1,3.81,3.81,3.81,3.2
Sebastian Janikowski,Raiders,K,2010,4,16.0,7.6,4.0,3.1
Sebastian Janikowski,Raiders,K,2013,4,15.1,8.0,3.775,3.1
Stephen Gostkowski,Patriots,K,2015,4,17.2,10.1,4.3,3.0
Adam Vinatieri,Patriots,K,2005,1,2.509,2.509,2.509,2.9
Justin Tucker,Ravens,K,2022,4,24.0,14.0,6.0,2.9
Justin Tucker,Ravens,K,2016,4,16.8,10.8,4.2,2.7
Justin Tucker,Ravens,K,2019,4,20.0,12.5,5.0,2.7
Phil Dawson,Browns,K,2011,1,3.175,3.175,3.175,2.6
Stephen Gostkowski,Patriots,K,2010,5,13.6,4.0,3.4,2.6
Sebastian Janikowski,Raiders,K,2004,5,10.5,1.5,2.1,2.6
Mason Crosby,Packers,K,2016,4,16.1,5.0,4.025,2.6
Adam Vinatieri,Colts,K,2011,3,9.2,3.6,3.066667,2.5
Robbie Gould,49ers,K,2019,4,19.0,10.5,4.75,2.5
Daniel Carlson,Raiders,K,2021,4,18.4,4.255556,4.6,2.5
Adam Vinatieri,Patriots,K,2002,3,5.375,5.375,1.791667,2.5
Harrison Butker,Chiefs,K,2024,4,25.6,15.0,6.4,2.5
Matt Gay,Colts,K,2023,4,22.5,10.06,5.625,2.5
Jason Hanson,Lions,K,2004,4,8.0,2.15,2.0,2.5
Graham Gano,Giants,K,2023,3,16.5,11.335,5.5,2.4
Dan Bailey,Cowboys,K,2014,7,22.5,4.9,3.214286,2.4
Jason Sanders,Dolphins,K,2021,5,22.0,7.52,4.4,2.4
Chris Boswell,Steelers,K,2022,4,20.0,9.76,5.0,2.4
Jason Elam,Broncos,K,2003,5,9.0,2.675,1.8,2.4
Graham Gano,Panthers,K,2018,4,17.0,8.0,4.25,2.4
Chris Boswell,Steelers,K,2018,4,16.806,7.295,4.2015,2.4
Shaun Suisham,Steelers,K,2014,4,12.575,2.85,3.14375,2.4
Graham Gano,Giants,K,2020,3,14.0,9.5,4.666667,2.4
Adam Vinatieri,Colts,K,2006,5,12.0,3.5,2.4,2.4
Jake Elliott,Eagles,K,2024,4,24.0,9.7,6.0,2.3
Jason Myers,Seahawks,K,2023,4,21.1,8.665,5.275,2.3
Graham Gano,Panthers,K,2014,4,12.4,3.95,3.1,2.3
Younghoe Koo,Falcons,K,2022,5,24.25,8.0,4.85,2.3
Brandon Aubrey,Cowboys,K,2026,4,28.0,15.0,7.0,2.3
Chris Boswell,Steelers,K,2026,4,28.0,10.5,7.0,2.3
Phil Dawson,49ers,K,2014,2,6.134,3.0,3.067,2.3
Ryan Succop,Chiefs,K,2011,5,13.75,4.0,2.75,2.3
Matt Prater,Lions,K,2017,3,11.4,3.6,3.8,2.3
Tyler Bass,Bills,K,2023,4,20.4,9.41,5.1,2.3
Blair Walsh,Vikings,K,2015,4,13.0,3.75,3.25,2.3
Stephen Gostkowski,Patriots,K,2019,2,8.5,5.5,4.25,2.3
Ryan Succop,Titans,K,2018,5,20.0,7.5,4.0,2.3
Brandon McManus,Broncos,K,2017,3,11.254,6.0,3.751333,2.2
Ka'imi Fairbairn,Texans,K,2020,4,17.65,9.0,4.4125,2.2
Matt Bryant,Falcons,K,2011,4,10.7,3.5,2.675,2.2
Mike Nugent,Bengals,K,2012,1,2.654,2.654,2.654,2.2
Ryan Succop,Buccaneers,K,2021,3,12.0,5.0,4.0,2.2
Brandon McManus,Broncos,K,2020,4,17.2,9.5,4.3,2.2
Mason Crosby,Packers,K,2020,3,12.9,3.0,4.3,2.2
Ka'imi Fairbairn,Texans,K,2026,2,13.0,11.66,6.5,2.2
Harrison Butker,Chiefs,K,2019,5,20.275,6.49,4.055,2.2
Jason Hanson,Lions,K,2009,4,10.6,2.7,2.65,2.2
Cameron Dicker,Chargers,K,2024,4,22.004,8.735,5.501,2.2
Evan McPherson,Bengals,K,2024,3,16.5,5.0,5.5,2.2
Wil Lutz,Saints,K,2019,5,20.25,9.2,4.05,2.2
Jake Elliott,Eagles,K,2019,5,20.15,5.655,4.03,2.1
Cody Parkey,Bears,K,2018,4,15.0,9.0,3.75,2.1
Matt Prater,Lions,K,2015,3,0.9,0.75,3.0,2.1
Ka'imi Fairbairn,Texans,K,2024,3,15.9,11.06,5.3,2.1
Dustin Hopkins,Browns,K,2024,3,15.9,8.3625,5.3,2.1
Jason Elam,Broncos,K,2002,1,1.465402,1.465402,1.465402,2.1
Adam Vinatieri,Colts,K,2019,1,3.875,2.0,3.875,2.1
Stephen Hauschka,Bills,K,2019,2,7.75,5.025,3.875,2.1
Jason Myers,Seahawks,K,2019,4,15.45,5.5,3.8625,2.1
Adam Vinatieri,Colts,K,2018,1,3.625,2.0,3.625,2.0
Jason Hanson,Lions,K,1995,5,3.75,1.25,0.75,2.0
Phil Dawson,49ers,K,2016,1,3.134,1.0,3.134,2.0
Josh Lambo,Jaguars,K,2019,4,15.5,6.5,3.785,2.0
Jason Hanson,Lions,K,1999,4,4.6,1.2,1.15,2.0
Jason Elam,Broncos,K,1996,6,4.87,1.62,0.811667,2.0
Matt Bryant,Falcons,K,2015,3,8.5,1.0,2.833333,2.0
Matt Bryant,Falcons,K,2018,3,10.5,2.0,3.5,2.0
Mike Nugent,Buccaneers,K,2009,1,2.4,0.6,2.4,2.0
Sebastian Janikowski,Raiders,K,2000,5,6.055,2.0,1.211,1.9
Jason Elam,Falcons,K,2008,4,9.0,2.5,2.25,1.9
Adam Vinatieri,Colts,K,2016,2,6.0,1.0,3.0,1.9
Wil Lutz,Broncos,K,2025,3,16.1,7.711666,5.366667,1.9
Brandon Aubrey,Cowboys,K,2026,1,5.767,0.0,5.767,1.9
Phil Dawson,49ers,K,2013,1,2.35,1.0,2.35,1.9
Jake Elliott,Eagles,K,2026,3,17.0,5.0,5.666667,1.9
Adam Vinatieri,Colts,K,2014,2,5.0,0.5,2.5,1.9
Dan Carpenter,Bills,K,2014,4,9.95,2.15,2.4875,1.9
Daniel Carlson,Raiders,K,2021,1,3.384,0.0,3.384,1.9
Chandler Catanzaro,Buccaneers,K,2018,3,9.75,3.75,3.25,1.8
Robbie Gould,49ers,K,2020,2,7.25,7.25,3.625,1.8
Brandon McManus,Packers,K,2025,3,15.3,5.0,5.1,1.8
Phil Dawson,Cardinals,K,2017,2,6.0,1.5,3.0,1.8
Sebastian Janikowski,Raiders,K,2017,1,3.0,3.0,3.0,1.8
Matt Prater,Cardinals,K,2021,2,6.5,2.925,3.25,1.8
Stephen Hauschka,Bills,K,2017,3,8.85,4.0,2.95,1.8
Cairo Santos,Bears,K,2023,4,15.6,3.383333,3.9,1.7
Dan Bailey,Vikings,K,2020,3,10.0,4.2,3.333333,1.7
Ryan Succop,Titans,K,2015,3,7.2,2.75,2.4,1.7
Matt Prater,Cardinals,K,2023,2,7.5,4.0,3.75,1.7
Ka'imi Fairbairn,Texans,K,2019,1,3.095,0.0,3.095,1.6
Wil Lutz,Broncos,K,2024,2,8.4,4.51,4.2,1.6
Greg Zuerlein,Jets,K,2024,2,8.4,4.2,4.2,1.6
Chris Boswell,Steelers,K,2018,1,2.914,0.0,2.914,1.6
Justin Tucker,Ravens,K,2015,1,2.356,0.0,2.356,1.6
Brandon McManus,Broncos,K,2017,1,2.746,0.0,2.746,1.6
Zane Gonzalez,Cardinals,K,2020,1,3.259,0.0,3.259,1.6
Aldrick Rosas,Giants,K,2020,1,3.259,0.0,3.259,1.6
Cairo Santos,Bears,K,2021,3,9.0,3.575,3.0,1.6
Phil Dawson,Browns,K,2005,5,7.0,1.6,1.4,1.6
Chase McLaughlin,Buccaneers,K,2024,3,12.3,5.0,4.1,1.6
Matt Gay,Commanders,K,2025,1,4.325,3.985,4.325,1.5
Nick Folk,Falcons,K,2026,2,9.0,4.0,4.5,1.5
Nick Folk,Titans,K,2024,1,3.755,3.5,3.755,1.5
Adam Vinatieri,Patriots,K,1999,3,2.5,0.9,0.833333,1.5
Dustin Hopkins,LAC/CLE,K,2022,3,9.0,3.52,3.0,1.4
Dustin Hopkins,Commanders,K,2018,3,7.575,1.201072,2.525,1.4
Eddy Pineiro,49ers,K,2026,4,17.0,8.0,4.25,1.4
Brandon McManus,Commanders,K,2024,1,3.6,1.5,3.6,1.4
Stephen Gostkowski,Titans,K,2020,1,2.75,0.5,2.75,1.4
Matt Bryant,Buccaneers,K,2006,5,6.9,1.5,1.38,1.4
Dustin Hopkins,Commanders,K,2021,1,2.4625,1.8875,2.4625,1.3
Greg Zuerlein,Rams,K,2017,3,6.75,2.375,2.25,1.3
Matt Bryant,Falcons,K,2019,1,2.5,0.0,2.5,1.3
Josh Brown,Giants,K,2016,2,4.0,1.0,2.0,1.3
Caleb Sturgis,Chargers,K,2018,2,4.45,1.0,2.275,1.3
Greg Zuerlein,Cowboys,K,2020,3,7.5,2.25,2.5,1.3
Chandler Catanzaro,Jets,K,2019,1,2.3,0.5,2.3,1.2
Mike Nugent,Bengals,K,2015,2,3.5,0.6,1.75,1.2
Matt Gay,Rams,K,2022,1,2.54,0.0,2.54,1.2
Mike Nugent,Bengals,K,2013,2,3.0,0.5,1.5,1.2
Nick Folk,NE/TEN,K,2022,2,5.0,2.19,2.5,1.2
Robbie Gould,49ers,K,2017,2,4.0,1.0,2.0,1.2
Randy Bullock,Bengals,K,2018,2,4.205,0.75,2.1025,1.2
Greg Joseph,Vikings,K,2022,1,2.433,0.0,2.433,1.2
Greg Zuerlein,Jets,K,2023,1,2.6,1.75,2.6,1.2
Sebastian Janikowski,Seahawks,K,2018,1,2.015,0.6,2.015,1.1
Graham Gano,Giants,K,2020,1,2.25,1.0,2.25,1.1
Cairo Santos,Jets,K,2018,1,2.0,0.5,2.0,1.1
Randy Bullock,Titans,K,2022,2,4.68,2.32,2.34,1.1
Tyler Bass,Bills,K,2026,2,6.75,1.0,3.375,1.1
Phil Dawson,Browns,K,2002,4,3.13,0.8,0.7825,1.1
Zane Gonzalez,CAR/SF,K,2022,2,4.5,2.0,2.25,1.1
Cairo Santos,Chiefs,K,2017,1,1.797,0.0,1.797,1.1
Nick Folk,Buccaneers,K,2017,1,1.75,0.75,1.75,1.0
Nick Folk,Jets,K,2025,1,2.875,1.375,2.875,1.0
Joey Slye,Commanders,K,2022,2,4.2,2.0,2.1,1.0
Dan Bailey,Vikings,K,2018,1,1.75,1.75,1.75,1.0
Wil Lutz,NO/DEN,K,2023,1,2.2,0.5,2.2,1.0
Greg Zuerlein,Jets,K,2022,1,2.0,1.0,2.0,1.0
Randy Bullock,Lions,K,2021,1,1.75,0.75,1.75,1.0
Eddy Pineiro,Panthers,K,2023,2,4.1,2.25,2.05,0.9
Brandon McManus,Jaguars,K,2023,1,2.0,1.25,2.0,0.9
Greg Joseph,Vikings,K,2023,1,2.0,1.7,2.0,0.9
Mike Nugent,Jets,K,2005,4,3.01,1.625,0.7525,0.9
Eddy Pineiro,Jets,K,2022,1,1.75,0.7,1.75,0.8
Nick Folk,Patriots,K,2021,1,1.5,0.025,1.5,0.8
Blake Gillikin,Cardinals,K,2024,2,3.7,1.2,1.85,0.7
Nick Novak,Texans,K,2017,1,1.15,0.25,1.15,0.7
Billy Cundiff,Bills,K,2015,1,0.97,0.0,0.97,0.7
Nick Folk,Patriots,K,2021,1,1.625,1.225,1.225,0.7
Cody Parkey,Browns,K,2021,1,1.2125,0.2,1.2125,0.7
Joey Slye,Titans,K,2026,1,2.0,0.75,2.0,0.7
Blair Walsh,Seahawks,K,2017,1,1.1,0.0,1.1,0.7
Roberto Aguayo,CHI/TB,K,2016,4,4.052568,2.02532,1.013142,0.7
Shayne Graham,Falcons,K,2016,1,0.985,0.0,0.985,0.6
Josh Scobee,Saints,K,2016,1,0.985,0.0,0.985,0.6
Aldrick Rosas,Jaguars,K,2021,1,1.1275,0.0,1.1275,0.6
Chad Ryland,Cardinals,K,2026,1,1.85,0.475,1.85,0.6
Matt Bryant,Falcons,K,2009,2,1.5,0.0,0.75,0.6
Garrett Hartley,Steelers,K,2015,1,0.87,0.0,0.87,0.6
Michael Badgley,Chargers,K,2021,1,1.1,0.0,1.1,0.6
Kai Forbath,Cowboys,K,2020,1,1.1875,0.1375,1.1875,0.6
Mike Nugent,NYG/CHI/DAL,K,2017,1,1.0,0.0,1.0,0.6
Jake Moody,49ers,K,2023,4,5.304082,0.857512,1.326021,0.6
Cody Parkey,Saints,K,2021,1,1.075,0.0,1.075,0.6
Dustin Hopkins,Chargers,K,2021,1,1.075,0.0,1.075,0.6
Randy Bullock,Titans,K,2021,1,1.075,0.0,1.075,0.6
Connor Barth,Bears,K,2017,1,0.98,0.155,0.98,0.6
Caleb Sturgis,Eagles,K,2016,1,0.9,0.25,0.9,0.6
Phil Dawson,Browns,K,2001,1,0.389,0.0,0.389,0.6
Mike Nugent,Raiders,K,2018,1,1.015,0.0,1.015,0.6
Kai Forbath,Vikings,K,2018,1,1.0,0.2,1.0,0.6
Ryan Succop,Titans,K,2014,1,0.745,0.0,0.745,0.6
Michael Badgley,Lions,K,2023,1,1.2325,0.35,1.2325,0.5
Brett Maher,Broncos,K,2023,1,1.2325,0.052,1.2325,0.5
Nick Folk,Patriots,K,2019,1,1.03,0.0,1.03,0.5
Phil Dawson,Browns,K,2019,1,1.03,0.0,1.03,0.5
Mike Nugent,Patriots,K,2019,1,1.03,0.0,1.03,0.5
Zane Gonzalez,Panthers,K,2021,1,0.99,0.0,0.99,0.5
Aldrick Rosas,Saints,K,2021,1,0.99,0.0,0.99,0.5
Zane Gonzalez,Lions,K,2021,1,0.99,0.0,0.99,0.5
Chandler Catanzaro,Jets,K,2017,1,0.9,0.25,0.9,0.5
Nick Novak,Chargers,K,2017,1,0.9,0.0,0.9,0.5
Josh Lambo,Titans,K,2022,1,1.12,0.0,1.12,0.5
Matt Bryant,Buccaneers,K,2005,1,0.455,0.0,0.455,0.5
Dan Bailey,Vikings,K,2019,1,1.0,0.25,1.0,0.5
Cairo Santos,Buccaneers,K,2019,1,1.0,0.195,1.0,0.5
Matt Gay,Raiders,K,2026,1,1.6,1.35,1.6,0.5
Kai Forbath,Rams,K,2020,1,1.05,0.0,1.05,0.5
Nick Folk,Patriots,K,2020,1,1.05,0.0,1.05,0.5
Mike Nugent,Cardinals,K,2020,1,1.05,0.0,1.05,0.5
Ryan Succop,Buccaneers,K,2020,1,1.05,0.0,1.05,0.5
Cade York,Browns,K,2022,4,4.38964,0.72964,1.09741,0.5
Evan McPherson,Bengals,K,2021,4,3.823716,0.343716,0.955929,0.5
Randy Bullock,Giants,K,2023,1,1.165,0.0,1.165,0.5
Chad Ryland,Patriots,K,2023,4,4.626748,0.786748,1.156687,0.5
Alex Henery,Eagles,K,2011,4,2.490115,0.420108,0.615027,0.5
Joey Slye,Jaguars,K,2024,1,1.2925,0.025,1.2925,0.5
Michael Badgley,Lions,K,2024,1,1.2925,0.425,1.2925,0.5
Greg Joseph,Packers,K,2024,1,1.2925,0.0,1.2925,0.5
Michael Badgley,IND/TEN,K,2021,1,0.92,0.0,0.92,0.5
Younghoe Koo,Falcons,K,2021,1,0.92,0.0,0.92,0.5
Mike Nugent,Cardinals,K,2009,1,0.62,0.0,0.62,0.5
Chase McLaughlin,Buccaneers,K,2023,1,1.13,0.1,1.13,0.5
Stephen Gostkowski,Patriots,K,2006,4,2.035,0.425,0.50875,0.5
Jake Moody,Commanders,K,2026,1,1.5,0.125,1.5,0.5
Michael Badgley,Lions,K,2022,1,1.035,0.0,1.035,0.5
Aldrick Rosas,Lions,K,2022,1,1.035,0.0,1.035,0.5
Joey Slye,Patriots,K,2024,1,1.2675,0.0,1.2675,0.5
Kai Forbath,Vikings,K,2016,2,1.535,0.0,0.7675,0.5
Kai Forbath,Cowboys,K,2019,1,0.93,0.0,0.93,0.5
Zane Gonzalez,Dolphins,K,2026,1,1.4875,0.1,1.4875,0.5
Jason Sanders,Giants,K,2026,1,1.4875,0.3,1.4875,0.5
Mike Nugent,Bengals,K,2010,2,1.27,0.0,0.635,0.5
Kai Forbath,Jaguars,K,2018,2,1.72,0.0,0.86,0.5
Alex Henery,Lions,K,2014,1,0.645,0.0,0.645,0.5
Michael Badgley,WAS/DET/TEN,K,2023,1,1.08,0.0,1.08,0.5
Brett Maher,Rams,K,2023,1,1.08,0.0,1.08,0.5
Brett Maher,Rams,K,2023,1,1.08,0.12,1.08,0.5
Brandon McManus,Packers,K,2024,1,1.21,0.0,1.21,0.5
Randy Bullock,Texans,K,2012,4,2.278108,0.178108,0.569527,0.5
Greg Zuerlein,Rams,K,2012,4,2.275473,0.12882,0.568868,0.5
Matt Bryant,IND/MIA/DAL,K,2004,1,0.38,0.0,0.38,0.5
Randy Bullock,Bengals,K,2017,2,1.565,0.0,0.7825,0.5
Caleb Sturgis,Dolphins,K,2013,4,2.30456,0.14456,0.57614,0.5
Joey Slye,Texans,K,2021,1,0.85,0.0,0.85,0.5
Sam Ficken,Jets,K,2021,1,0.85,0.0,0.85,0.5
Joey Slye,CAR/WAS,K,2021,1,0.85,0.0,0.85,0.5
Brett Maher,Cardinals,K,2021,1,0.85,0.0,0.85,0.5
Sam Ficken,Titans,K,2021,1,0.85,0.0,0.85,0.5
Brett Maher,Saints,K,2021,1,0.85,0.0,0.85,0.5
Joey Slye,49ers,K,2021,1,0.85,0.0,0.85,0.5
