player_name,team,position,signed_year,years,total_value,guaranteed,aav,cap_pct
Shane Lechler,Raiders,P,2009,4,16.0,9.0,4.0,3.3
Dustin Colquitt,Chiefs,P,2013,5,18.75,7.9,3.75,3.0
Thomas Morstead,Saints,P,2012,6,21.885,6.925,3.6475,3.0
Mike Scifres,Chargers,P,2011,5,18.125,4.75,3.625,3.0
Andy Lee,CLE/CAR/SF,P,2012,6,20.4,3.6,3.4,2.8
Brandon Fields,Dolphins,P,2012,4,13.000116,3.3,3.250029,2.7
Pat McAfee,Colts,P,2013,1,2.977,0.0,2.977,2.4
Kevin Huber,Bengals,P,2013,5,14.0,3.2,2.8,2.3
Sam Koch,Ravens,P,2015,5,16.25,5.0,3.25,2.3
Thomas Morstead,Saints,P,2018,4,15.6,9.118,3.9,2.2
Sam Martin,Lions,P,2016,4,13.600276,3.175,3.400069,2.2
Bryan Anger,Buccaneers,P,2016,5,17.0,2.5,3.4,2.2
Pat McAfee,Colts,P,2014,5,14.5,3.75,2.9,2.2
Matt Bosher,Falcons,P,2014,5,14.5,3.031176,2.9,2.2
Marquette King,Raiders,P,2016,1,16.5,7.55,3.3,2.1
Brett Kern,Titans,P,2015,5,15.0,5.0,3.0,2.1
Johnny Hekker,Rams,P,2014,6,16.57803,2.002985,2.763005,2.1
Johnny Hekker,Rams,P,2017,6,20.814716,4.250001,3.469119,2.1
Michael Dickson,Seahawks,P,2021,4,14.699059,7.5,3.674765,2.0
Johnny Hekker,Rams,P,2019,5,18.75,3.25,3.75,2.0
Shane Lechler,Raiders,P,2002,6,8.0,1.0,1.333333,1.9
Brett Kern,Titans,P,2019,3,12.55,4.0,3.183333,1.7
Jack Fox,Lions,P,2022,4,13.965,5.895,3.49125,1.7
Britton Colquitt,Browns,P,2017,4,11.2,3.15,2.8,1.7
Tress Way,Commanders,P,2020,4,13.25,6.415,3.3125,1.7
A.J. Cole,Raiders,P,2021,4,12.0,3.5,3.0,1.6
Logan Cooke,Jaguars,P,2021,4,12.0,6.0,3.0,1.6
