player_name,team,position,signed_year,years,total_value,guaranteed,aav,cap_pct
Jamal Adams,Seahawks,S,2021,4,70.0,21.0,17.5,9.6
Derwin James,Chargers,S,2022,4,76.0,38.584471,19.0,9.1
Kyle Hamilton,Ravens,S,2025,4,100.4,48.022604,25.1,9.0
Harrison Smith,Vikings,S,2021,4,64.0,14.179412,16.0,8.8
Minkah Fitzpatrick,MIA/PIT,S,2022,4,72.988,36.0,18.247,8.8
Derwin James,Chargers,S,2026,3,75.6,41.0,25.2,8.4
Justin Simmons,Broncos,S,2021,4,61.0,32.1,15.25,8.4
"Antoine Winfield, Jr.",Buccaneers,S,2024,4,84.1,45.0,21.025,8.2
Troy Polamalu,Steelers,S,2011,3,29.6,10.55,9.866667,8.2
Tyrann Mathieu,Cardinals,S,2016,5,62.500407,21.25,12.500081,8.1
Eric Berry,Chiefs,S,2017,6,78.0,29.8,13.0,7.8
John Lynch,Buccaneers,S,2000,5,24.1,5.6,4.82,7.8
Kerby Joseph,Lions,S,2025,4,85.0,23.121,21.25,7.6
Earl Thomas,Seahawks,S,2014,4,40.0,14.225,10.0,7.5
Kevin Byard,Titans,S,2019,5,70.5,19.625,14.1,7.5
Budda Baker,Cardinals,S,2020,4,59.0,22.1,14.75,7.4
Tyrann Mathieu,Chiefs,S,2019,3,42.0,26.8,14.0,7.4
Landon Collins,Commanders,S,2019,6,84.0,31.0,14.0,7.4
Eddie Jackson,Bears,S,2020,4,58.4,22.0,14.6,7.4
Earl Thomas,Ravens,S,2019,4,55.0,32.0,13.75,7.3
Kam Chancellor,Seahawks,S,2017,3,36.0,13.0,12.0,7.2
Reshad Jones,Dolphins,S,2017,4,48.0,19.885,12.0,7.2
Jessie Bates III,Falcons,S,2023,4,64.02,36.0,16.005,7.1
Budda Baker,Cardinals,S,2024,3,54.0,17.441666,18.0,7.0
Eric Berry,Chiefs,S,2016,1,10.806,10.806,10.806,7.0
Troy Polamalu,Steelers,S,2007,4,30.19,10.975,7.5475,6.9
Steve Atwater,Broncos,S,1995,5,12.5,3.3,2.5,6.7
Marcus Williams,Ravens,S,2022,5,70.0,17.08,14.0,6.7
Dashon Goldson,TB/WAS,S,2013,5,41.0,22.0,8.25,6.7
"Antoine Winfield, Jr.",Buccaneers,S,2024,1,17.123,0.0,17.123,6.7
Eric Weddle,Chargers,S,2011,5,40.0,19.0,8.0,6.6
Devin McCourty,Patriots,S,2015,5,47.5,22.0,9.5,6.6
Harrison Smith,Vikings,S,2016,5,51.25,15.278,10.25,6.6
Jairus Byrd,Saints,S,2014,6,52.5,18.3,8.75,6.6
Xavier McKinney,Packers,S,2024,4,67.0,23.0,16.75,6.6
Eric Berry,Chiefs,S,2010,6,50.0,25.6962,8.333333,6.5
Lamarcus Joyner,Rams,S,2018,1,11.287,11.287,11.287,6.4
Budda Baker,Cardinals,S,2023,2,28.2,13.4,14.1,6.3
Quandre Diggs,Seahawks,S,2022,3,39.0,13.49,13.0,6.2
Ed Reed,Ravens,S,2006,6,38.102,7.5,6.350333,6.2
Jessie Bates III,Bengals,S,2022,1,12.911,12.911,12.911,6.2
John Johnson,Browns,S,2021,3,33.75,20.0,11.25,6.2
Trevon Moehrig,Panthers,S,2025,3,51.0,34.5,17.0,6.1
Minkah Fitzpatrick,MIA/NYJ,S,2025,2,33.1,0.0,16.55,5.9
Kareem Jackson,Broncos,S,2019,3,33.0,23.0,11.0,5.8
Marcus Williams,Saints,S,2021,1,10.612,10.612,10.612,5.8
Marcus Maye,Jets,S,2021,1,10.612,10.612,10.612,5.8
Michael Griffin,Titans,S,2012,5,35.0,11.5,7.0,5.8
Devin McCourty,Patriots,S,2020,2,23.0,13.0,11.5,5.8
Anthony Harris,Vikings,S,2020,1,11.441,11.441,11.441,5.8
Justin Simmons,Broncos,S,2020,1,11.441,11.441,11.441,5.8
Jalen Thompson,Cardinals,S,2022,3,36.0,20.0,12.0,5.8
Antrel Rolle,Giants,S,2010,5,37.0,15.0,7.4,5.7
Reshad Jones,Dolphins,S,2013,4,28.012,15.0,7.003,5.7
Kam Chancellor,Seahawks,S,2013,4,28.002008,7.825,7.000502,5.7
Kyle Dugger,Patriots,S,2024,4,58.0,29.75,14.5,5.7
Malcolm Jenkins,Eagles,S,2016,4,35.0,16.0,8.75,5.6
Jairus Byrd,Bills,S,2013,1,6.916,6.916,6.916,5.6
Kevin Byard,PHI/TEN,S,2023,2,25.1,7.0,12.55,5.6
Lamarcus Joyner,Raiders,S,2019,4,42.0,16.7,10.5,5.6
Tyvon Branch,Raiders,S,2012,4,26.6,10.1,6.65,5.5
Kyle Dugger,Patriots,S,2024,1,13.815,13.815,13.815,5.4
Jevon Holland,Giants,S,2025,3,45.3,27.4,15.1,5.4
Cam Bynum,Colts,S,2025,4,60.0,26.0,15.0,5.4
Grant Delpit,Browns,S,2023,3,36.0,14.909558,12.0,5.3
Micah Hyde,Bills,S,2021,2,19.25,9.6,9.625,5.3
Donte Whitner,Browns,S,2014,4,28.0,11.0,7.0,5.3
Roman Harper,Saints,S,2011,4,25.0,8.9,6.25,5.2
John Lynch,Buccaneers,S,1997,3,6.4405,1.5,2.146833,5.2
Dashon Goldson,49ers,S,2012,1,6.212,0.0,6.212,5.2
Tony Jefferson,Ravens,S,2017,4,34.0,19.0,8.5,5.1
Logan Ryan,Giants,S,2020,3,30.0,17.0,10.0,5.0
Justin Reid,Chiefs,S,2022,3,31.5,20.485,10.5,5.0
Antoine Bethea,Colts,S,2010,4,26.0,10.65,6.5,5.0
Morgan Burnett,Packers,S,2013,4,24.75,8.25,6.1875,5.0
Jordan Poyer,Bills,S,2020,2,19.5,8.525,9.75,4.9
Aaron Williams,Bills,S,2014,4,26.007844,8.75,6.501961,4.9
William Moore,Falcons,S,2013,5,30.0,14.0,6.0,4.9
LaRon Landry,Colts,S,2013,4,24.0,11.0,6.0,4.9
Amani Hooker,Titans,S,2025,3,40.5,24.86,13.5,4.8
Brian Dawkins,Eagles,S,2003,4,14.5,6.0,3.625,4.8
Amani Hooker,Titans,S,2022,3,30.0,17.15,10.0,4.8
Steve Atwater,Jets,S,1999,3,8.25,1.8,2.75,4.8
Rayshawn Jenkins,Jaguars,S,2021,4,35.0,16.0,8.75,4.8
Jimmie Ward,49ers,S,2020,3,28.5,13.0,9.5,4.8
Adrian Amos,Packers,S,2019,4,36.0,12.0,9.0,4.8
Brian Dawkins,Eagles,S,1998,5,12.44,2.5,2.488,4.7
Talanoa Hufanga,Broncos,S,2025,3,39.0,20.0,13.0,4.7
Tashaun Gipson,Jaguars,S,2016,5,36.0,12.0,7.2,4.6
Charles Godfrey,Panthers,S,2011,5,27.5,10.6,5.5,4.6
Quentin Lake,Rams,S,2025,3,38.25,8.5,12.75,4.6
Rodney McLeod,Eagles,S,2016,5,35.0,13.0,7.0,4.5
Darian Stewart,Broncos,S,2016,4,28.0,13.0,7.0,4.5
Bryan Cook,Bengals,S,2026,3,40.25,14.0,13.416667,4.5
Coby Bryant,Bears,S,2026,3,40.0,25.75,13.333333,4.4
Minkah Fitzpatrick,Jets,S,2026,3,40.0,20.5,13.333333,4.4
Troy Polamalu,Steelers,S,2014,2,11.75,6.75,5.875,4.4
Brian Dawkins,Broncos,S,2009,5,27.0,5.78,5.4,4.4
Devin McCourty,Patriots,S,2022,1,9.0,8.0,9.0,4.3
Tyrann Mathieu,Saints,S,2022,3,27.0,18.0,9.0,4.3
Julian Love,Seahawks,S,2024,3,33.0,11.965,11.0,4.3
Josh Metellus,Vikings,S,2025,3,36.0,14.605,12.0,4.3
T.J. Ward,Broncos,S,2014,4,22.5,7.0,5.625,4.2
Eric Weddle,Ravens,S,2016,4,26.0,9.0,6.5,4.2
Danieal Manning,Texans,S,2011,4,20.0,9.0,5.0,4.2
Da'Norris Searcy,Titans,S,2015,4,23.75,8.0,5.9375,4.1
Sean Taylor,Commanders,S,2004,6,16.67,7.2,3.334,4.1
Ed Reed,Texans,S,2013,3,15.0,5.0,5.0,4.1
Malcolm Jenkins,Saints,S,2020,4,32.0,16.25,8.0,4.0
Nate Allen,Raiders,S,2015,4,23.0,6.9,5.75,4.0
Tracy Walker,Lions,S,2022,3,25.0,16.0,8.333333,4.0
Tashaun Gipson,Texans,S,2019,3,22.5,11.25,7.5,4.0
Kamren Curl,Rams,S,2026,3,36.0,18.75,12.0,4.0
Charles Godfrey,Panthers,S,2014,3,10.5875,0.15,5.29375,4.0
Tyrann Mathieu,Texans,S,2018,1,7.0,4.5,7.0,4.0
Antoine Bethea,49ers,S,2014,4,21.0,6.25,5.25,3.9
Kyle Dugger,Steelers,S,2025,1,11.0,9.75,11.0,3.9
Eric Reid,Panthers,S,2019,3,22.05,9.0,7.35,3.9
Glover Quin,Lions,S,2017,2,13.0,5.9,6.5,3.9
Barry Church,Jaguars,S,2017,4,26.0,12.0,6.5,3.9
Malcolm Jenkins,Eagles,S,2014,3,15.5,8.5,5.166667,3.9
George Iloka,Bengals,S,2016,5,30.0,5.0,6.0,3.9
Marcus Gilchrist,Jets,S,2015,4,22.0,3.5,5.5,3.8
John Lynch,Broncos,S,2004,3,9.26,2.5,3.086667,3.8
Glover Quin,Lions,S,2013,5,23.5,6.25,4.7,3.8
Will Hill,Ravens,S,2015,1,5.458,4.16,5.458,3.8
Bobby McCain,Dolphins,S,2018,4,27.0,9.982,6.75,3.8
Lardarius Webb,Ravens,S,2015,3,16.25,5.25,5.416667,3.8
Donte Whitner,Bills,S,2006,5,19.20075,13.3,3.84015,3.8
Justin Reid,Saints,S,2025,3,31.5,22.25,10.5,3.8
Mike Mitchell,Steelers,S,2014,5,25.0,5.25,5.0,3.8
Johnathan Cyprien,Titans,S,2017,4,25.0,7.0,6.25,3.7
Reggie Nelson,Bengals,S,2012,4,18.0,5.0,4.5,3.7
Patrick Chung,Patriots,S,2019,1,7.0,4.0,7.0,3.7
Harrison Smith,Vikings,S,2025,1,10.25,8.0,10.25,3.7
