player_name,team,position,signed_year,years,total_value,guaranteed,aav,cap_pct
Ja'Marr Chase,Bengals,WR,2025,4,161.0,73.9,40.25,14.4
Tyreek Hill,Dolphins,WR,2022,4,120.0,52.535,30.0,14.4
Jerry Rice,49ers,WR,1996,5,29.0,4.0,5.8,14.2
Jaxon Smith-Njigba,Seahawks,WR,2026,4,168.6,69.130996,42.15,14.0
DeAndre Hopkins,Cardinals,WR,2020,2,54.5,42.75,27.25,13.7
Justin Jefferson,Vikings,WR,2024,4,140.0,88.743,35.0,13.7
Randy Moss,Vikings,WR,2001,7,63.536,10.0,9.076571,13.5
Davante Adams,LV/NYJ,WR,2022,5,140.0,22.75,28.0,13.4
Calvin Johnson,Lions,WR,2012,7,113.45,48.75,16.207143,13.4
Larry Fitzgerald,Cardinals,WR,2011,7,113.0,20.0,16.142857,13.4
CeeDee Lamb,Cowboys,WR,2024,4,136.0,67.0,34.0,13.3
Cooper Kupp,Rams,WR,2022,3,80.1,35.0,26.7,12.8
A.J. Brown,NE/PHI,WR,2024,3,96.0,51.0,32.0,12.5
A.J. Brown,Eagles,WR,2022,4,100.0,40.0,25.0,12.0
Marvin Harrison,Colts,WR,2004,7,67.0,6.0,9.571429,11.9
D.K. Metcalf,Steelers,WR,2025,4,131.999529,60.000471,32.999882,11.8
Amon-Ra St. Brown,Lions,WR,2024,4,120.01,34.666,30.0025,11.7
Brandon Aiyuk,49ers,WR,2024,4,120.0,45.0,30.0,11.7
Tyreek Hill,Dolphins,WR,2024,3,90.0,54.0,30.0,11.7
Drake London,Falcons,WR,2026,4,141.054,52.871,35.2635,11.7
Julio Jones,TEN/ATL,WR,2019,3,66.0,64.0,22.0,11.7
Garrett Wilson,Jets,WR,2025,4,130.0,38.324819,32.5,11.6
D.K. Metcalf,SEA/PIT,WR,2022,3,72.0,31.0,24.0,11.5
Stefon Diggs,HOU/BUF,WR,2022,4,96.0,47.985,24.0,11.5
Larry Fitzgerald,Cardinals,WR,2004,6,55.4375,12.5375,9.239583,11.5
Deebo Samuel,WAS/SF,WR,2022,3,71.55,41.0,23.85,11.5
Jerry Rice,49ers,WR,1998,6,36.0,4.0,6.0,11.5
Terry McLaurin,Commanders,WR,2022,3,69.6,34.654118,23.2,11.1
Jaylen Waddle,MIA/DEN,WR,2024,3,84.75,35.978546,28.25,11.1
Randy Moss,Raiders,WR,2005,4,37.0,7.085,9.25,10.8
D.J. Moore,CHI/BUF,WR,2024,4,110.0,43.65,27.5,10.8
A.J. Green,Bengals,WR,2015,4,60.0,26.75,15.0,10.5
Percy Harvin,NYJ/SEA,WR,2013,5,64.2175,14.5,12.8435,10.4
Terry McLaurin,Commanders,WR,2025,3,87.0,44.65,29.0,10.4
Tee Higgins,Bengals,WR,2025,4,115.0,30.0,28.75,10.3
Michael Thomas,Saints,WR,2019,5,96.25,35.648043,19.25,10.2
Antonio Brown,Steelers,WR,2017,4,68.0,19.0,17.0,10.2
Odell Beckham Jr.,CLE/NYG,WR,2018,5,90.0,40.959,18.0,10.2
Keenan Allen,LAC/CHI,WR,2020,4,80.1,32.0,20.025,10.1
Amari Cooper,BUF/DAL/CLE,WR,2020,5,100.0,40.0,20.0,10.1
Steve Smith Sr.,Panthers,WR,2007,3,32.7,9.3,10.9,10.0
Nico Collins,Texans,WR,2026,2,60.0,57.0,30.0,10.0
Julio Jones,Falcons,WR,2015,5,71.25,35.5,14.25,9.9
D.J. Moore,CHI/CAR,WR,2022,3,61.884,41.61,20.628,9.9
Kenny Golladay,Giants,WR,2021,4,72.0,28.0,18.0,9.9
Allen Robinson,Bears,WR,2021,1,17.98,17.88,17.98,9.9
Marvin Harrison,Colts,WR,2000,4,24.48,11.5,6.12,9.8
DeVonta Smith,Eagles,WR,2024,3,75.0,33.997554,25.0,9.8
Demaryius Thomas,DEN/HOU,WR,2015,5,70.0,35.0,14.0,9.8
Dez Bryant,Cowboys,WR,2015,5,70.0,32.0,14.0,9.8
Mike Wallace,MIN/MIA,WR,2013,3,60.0,27.0,12.0,9.8
DeAndre Hopkins,ARI/HOU,WR,2017,5,81.0,36.5,16.2,9.7
Davante Adams,Packers,WR,2022,1,20.145,0.0,20.145,9.7
Joey Galloway,Cowboys,WR,2000,7,42.0,12.5,6.0,9.7
Mike Williams,Chargers,WR,2022,3,60.0,40.0,20.0,9.6
Chris Godwin,Buccaneers,WR,2022,3,60.0,40.0,20.0,9.6
Tyreek Hill,Chiefs,WR,2019,3,54.0,18.34,18.0,9.6
Jameson Williams,Lions,WR,2025,3,80.0,30.579154,26.666667,9.6
Brandin Cooks,Texans,WR,2022,2,39.764706,36.0,19.882353,9.5
Nico Collins,Texans,WR,2024,3,72.75,32.116,24.25,9.5
Vincent Jackson,Chargers,WR,2011,1,11.424,11.424,11.424,9.5
Tyler Lockett,Seahawks,WR,2021,4,69.2,21.0,17.3,9.5
Alec Pierce,Colts,WR,2026,4,114.0,60.0,28.5,9.5
Alshon Jeffery,Bears,WR,2016,1,14.599,14.599,14.599,9.4
Tee Higgins,Bengals,WR,2025,1,26.1792,0.0,26.1792,9.4
Mike Evans,Buccaneers,WR,2018,5,82.5,38.258,16.5,9.3
Vincent Jackson,Buccaneers,WR,2012,5,55.555555,26.0,11.111111,9.2
Brandin Cooks,LAR/HOU,WR,2018,5,81.0,20.459,16.2,9.1
"Michael Pittman, Jr.",PIT/IND,WR,2024,3,70.0,41.0,23.333333,9.1
Dwayne Bowe,Chiefs,WR,2013,5,56.0,20.0,11.2,9.1
T.Y. Hilton,Colts,WR,2015,5,65.0,11.0,13.0,9.1
A.J. Green,Bengals,WR,2020,1,17.971,17.971,17.971,9.1
George Pickens,Cowboys,WR,2026,1,27.298,27.298,27.298,9.1
Sammy Watkins,Chiefs,WR,2018,3,48.0,30.0,16.0,9.0
Jarvis Landry,Browns,WR,2018,1,15.982,15.982,15.982,9.0
Jarvis Landry,Dolphins,WR,2018,1,15.982,0.0,15.982,9.0
Calvin Ridley,Titans,WR,2024,4,92.0,46.98,23.0,9.0
Antonio Brown,Raiders,WR,2019,3,50.125,30.125,16.708333,8.9
