player_name,team,position,age,years,years_remaining,total_value,guaranteed,aav,signed_year,contract_type,is_active,source,fetched_at
Trent McDuffie,Rams,CB,26.0,4,5,124.0,100.0,31.0,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Ahmad Gardner,Colts,CB,25.0,4,5,120.4,85.653473,30.1,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Derek Stingley Jr.,Texans,CB,25.0,3,4,90.0,89.026026,30.0,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Jaycee Horn,Panthers,CB,27.0,4,4,100.0,70.0,25.0,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Jalen Ramsey,Steelers,CB,32.0,3,3,72.3,29.235,24.1,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Patrick Surtain II,Broncos,CB,26.0,4,4,96.0,77.5,24.0,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
DaRon Bland,Cowboys,CB,27.0,4,4,90.0,50.0,22.5,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
A.J. Terrell,Falcons,CB,28.0,4,3,81.0,65.844,20.25,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Denzel Ward,Browns,CB,29.0,5,2,100.5,71.25,20.1,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Marlon Humphrey,Ravens,CB,30.0,5,1,97.5,66.957407,19.5,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Alontae Taylor,Titans,CB,28.0,3,3,58.0,42.0,19.333333,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Tyson Campbell,Browns,CB,26.0,4,3,76.5,53.4,19.125,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Jaylon Johnson,Bears,CB,27.0,4,2,76.0,54.0,19.0,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Carlton Davis,Patriots,CB,30.0,3,2,54.0,34.5,18.0,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Paulson Adebo,Giants,CB,27.0,3,2,54.0,38.5,18.0,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Byron Murphy,Vikings,CB,28.0,3,2,54.0,34.78,18.0,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Charvarius Ward,Colts,CB,30.0,3,2,54.0,34.98,18.0,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Deommodore Lenoir,49ers,CB,27.0,5,4,89.8,43.268889,17.96,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Christian Benford,Bills,CB,26.0,4,4,69.0,40.8,17.25,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Jaylen Watson,Rams,CB,28.0,3,3,51.0,34.0,17.0,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
D.J. Reed,Lions,CB,30.0,3,2,48.0,32.0,16.0,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Zyon McCollum,Buccaneers,CB,27.0,3,3,48.0,35.406,16.0,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Cordale Flott,Titans,CB,25.0,3,3,45.0,32.0,15.0,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Kyler Gordon,Bears,CB,27.0,3,3,40.0,31.256,13.333333,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Jalen Pitre,Texans,CB,27.0,3,3,39.0,29.156,13.0,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Jamel Dean,Steelers,CB,30.0,3,3,36.75,13.5,12.25,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Tariq Woolen,Eagles,CB,27.0,1,1,12.0,12.0,12.0,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Brandon Stephens,Jets,CB,29.0,3,2,36.0,22.98,12.0,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Marcus Jones,Patriots,CB,28.0,3,3,36.0,22.0,12.0,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Montaric Brown,Jaguars,CB,27.0,3,3,31.8,20.65,10.6,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Mansoor Delane,Chiefs,CB,23.0,4,4,41.931362,41.931362,10.482841,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Taron Johnson,Raiders,CB,30.0,3,2,30.75,19.0,10.25,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Kristian Fulton,Chiefs,CB,28.0,2,1,20.0,15.0,10.0,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Jourdan Lewis,Jaguars,CB,31.0,3,2,30.0,20.0,10.0,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Eric Stokes,Raiders,CB,27.0,3,3,30.0,20.0,10.0,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Greg Newsome II,Giants,CB,26.0,1,1,8.0,3.0,8.0,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Josh Jobe,Seahawks,CB,28.0,3,3,24.0,14.25,8.0,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Devon Witherspoon,Seahawks,CB,26.0,4,2,31.861152,31.861152,7.965288,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Amik Robertson,Commanders,CB,28.0,2,2,15.02,9.3,7.51,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Donte Jackson,Chargers,CB,31.0,2,1,13.0,7.0,6.5,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Mike Hughes,Falcons,CB,29.0,3,2,18.0,9.64,6.0,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Keisean Nixon,Packers,CB,29.0,3,1,18.0,6.5,6.0,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Ja'Quan McMillian,Broncos,CB,26.0,1,1,5.767,0.0,5.767,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Isaiah Rodgers,Vikings,CB,28.0,2,1,11.045,7.995,5.5225,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Michael Jackson Sr.,Panthers,CB,29.0,2,1,10.5,7.7,5.25,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Dee Alford,Bills,CB,29.0,3,3,15.75,10.12,5.25,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Benjamin St-Juste,Packers,CB,29.0,2,2,10.0,3.0,5.0,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Chidobe Awuzie,Ravens,CB,31.0,1,1,5.0,5.0,5.0,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Chris Johnson,Dolphins,CB,22.0,4,4,19.040468,19.040468,4.760117,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Jahdae Barron,Broncos,CB,25.0,4,3,18.073176,18.073176,4.518294,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
James Pierre,Vikings,CB,30.0,2,2,8.5,3.715,4.25,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
Joshua Williams,Titans,CB,27.0,2,2,8.0,3.24,4.0,2026,,True,https://overthecap.com/position/cornerback,2026-07-03T11:19:56.818749
