player_name,team,position,age,years,years_remaining,total_value,guaranteed,aav,signed_year,contract_type,is_active,source,fetched_at
Jeffery Simmons,Titans,DT,29.0,3,5,105.828,100.0,35.276,2026,,True,https://overthecap.com/position/defensive-tackle,2026-07-03T11:19:51.143571
Chris Jones,Chiefs,DT,32.0,5,3,158.75,95.0,31.75,2026,,True,https://overthecap.com/position/defensive-tackle,2026-07-03T11:19:51.143571
Dexter Lawrence,Bengals,DT,29.0,1,3,28.0,10.0,28.0,2026,,True,https://overthecap.com/position/defensive-tackle,2026-07-03T11:19:51.143571
Milton Williams,Patriots,DT,27.0,4,3,104.0,63.0,26.0,2026,,True,https://overthecap.com/position/defensive-tackle,2026-07-03T11:19:51.143571
Jordan Davis,Eagles,DT,26.0,3,4,78.0,64.438,26.0,2026,,True,https://overthecap.com/position/defensive-tackle,2026-07-03T11:19:51.143571
Nnamdi Madubuike,Ravens,DT,29.0,4,2,98.0,75.5,24.5,2026,,True,https://overthecap.com/position/defensive-tackle,2026-07-03T11:19:51.143571
Alim McNeill,Lions,DT,26.0,4,3,97.0,55.060667,24.25,2026,,True,https://overthecap.com/position/defensive-tackle,2026-07-03T11:19:51.143571
Quinnen Williams,Cowboys,DT,29.0,4,2,96.0,66.0,24.0,2026,,True,https://overthecap.com/position/defensive-tackle,2026-07-03T11:19:51.143571
Derrick Brown,Panthers,DT,28.0,4,3,96.0,63.165,24.0,2026,,True,https://overthecap.com/position/defensive-tackle,2026-07-03T11:19:51.143571
DeForest Buckner,Colts,DT,32.0,2,1,46.0,53.25,23.0,2026,,True,https://overthecap.com/position/defensive-tackle,2026-07-03T11:19:51.143571
Daron Payne,Commanders,DT,29.0,4,1,90.0,60.02,22.5,2026,,True,https://overthecap.com/position/defensive-tackle,2026-07-03T11:19:51.143571
Kenny Clark,Cowboys,DT,31.0,3,2,64.0,17.5,21.333333,2026,,True,https://overthecap.com/position/defensive-tackle,2026-07-03T11:19:51.143571
Christian Barmore,Patriots,DT,27.0,4,3,84.0,41.822128,21.0,2026,,True,https://overthecap.com/position/defensive-tackle,2026-07-03T11:19:51.143571
Osa Odighizuwa,49ers,DT,28.0,4,3,80.0,52.0,20.0,2026,,True,https://overthecap.com/position/defensive-tackle,2026-07-03T11:19:51.143571
Vita Vea,Buccaneers,DT,31.0,4,1,71.0,40.59644,17.75,2026,,True,https://overthecap.com/position/defensive-tackle,2026-07-03T11:19:51.143571
Ed Oliver,Bills,DT,29.0,4,2,68.0,45.278,17.0,2026,,True,https://overthecap.com/position/defensive-tackle,2026-07-03T11:19:51.143571
Javon Kinlaw,Commanders,DT,29.0,3,2,45.0,3.0,15.0,2026,,True,https://overthecap.com/position/defensive-tackle,2026-07-03T11:19:51.143571
Grady Jarrett,Bears,DT,33.0,3,2,43.5,28.5,14.5,2026,,True,https://overthecap.com/position/defensive-tackle,2026-07-03T11:19:51.143571
Travis Jones,Ravens,DT,27.0,3,3,40.5,25.756889,13.5,2026,,True,https://overthecap.com/position/defensive-tackle,2026-07-03T11:19:51.143571
Grover Stewart,Colts,DT,33.0,3,1,39.0,25.73,13.0,2026,,True,https://overthecap.com/position/defensive-tackle,2026-07-03T11:19:51.143571
D.J. Jones,Broncos,DT,31.0,3,2,39.0,26.0,13.0,2026,,True,https://overthecap.com/position/defensive-tackle,2026-07-03T11:19:51.143571
Jonathan Allen,Bengals,DT,31.0,2,2,25.0,10.5,12.5,2026,,True,https://overthecap.com/position/defensive-tackle,2026-07-03T11:19:51.143571
Dre'Mont Jones,Patriots,DT,29.0,3,3,36.5,23.28,12.166667,2026,,True,https://overthecap.com/position/defensive-tackle,2026-07-03T11:19:51.143571
