player_name,team,position,age,years,years_remaining,total_value,guaranteed,aav,signed_year,contract_type,is_active,source,fetched_at
Will Anderson Jr.,Texans,EDGE,25.0,3,5,150.0,134.063749,50.0,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Micah Parsons,Packers,EDGE,27.0,4,4,186.0,136.0,46.5,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Aidan Hutchinson,Lions,EDGE,26.0,4,5,180.0,141.0,45.0,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
T.J. Watt,Steelers,EDGE,32.0,3,3,123.0,108.0,41.0,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Danielle Hunter,Texans,EDGE,32.0,1,2,40.1,39.6,40.1,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Myles Garrett,Rams,EDGE,31.0,4,5,160.0,123.596125,40.0,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Maxx Crosby,Raiders,EDGE,29.0,3,4,106.5,91.5,35.5,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Nick Bosa,49ers,EDGE,29.0,5,3,170.0,122.5,34.0,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Jonathan Greenard,Eagles,EDGE,29.0,2,4,60.0,50.0,30.0,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Jaelan Phillips,Panthers,EDGE,27.0,4,4,120.0,80.0,30.0,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Josh Hines-Allen,Jaguars,EDGE,29.0,5,3,141.25,88.0,28.25,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Brian Burns,Giants,EDGE,28.0,5,3,141.0,87.5,28.2,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Trey Hendrickson,Ravens,EDGE,32.0,4,4,112.0,60.0,28.0,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Travon Walker,Jaguars,EDGE,26.0,4,5,110.0,75.0,27.5,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Nik Bonitto,Broncos,EDGE,27.0,4,4,106.0,70.0,26.5,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Montez Sweat,Bears,EDGE,30.0,4,2,98.0,72.865,24.5,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Odafe Oweh,Commanders,EDGE,28.0,4,4,96.0,68.0,24.0,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Andrew Van Ginkel,Vikings,EDGE,31.0,1,1,23.0,22.44,23.0,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
George Karlaftis,Chiefs,EDGE,25.0,4,5,88.0,64.778556,22.0,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
John Franklin-Myers,Titans,EDGE,30.0,3,3,63.0,42.0,21.0,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Gregory Rousseau,Bills,EDGE,26.0,4,4,80.0,54.0,20.0,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Boye Mafe,Bengals,EDGE,28.0,3,3,60.0,19.0,20.0,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Josh Sweat,Cardinals,EDGE,29.0,4,3,76.4,41.0,19.1,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Khalil Mack,Chargers,EDGE,35.0,1,1,18.0,18.0,18.0,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Alex Highsmith,Steelers,EDGE,29.0,4,2,68.0,27.743,17.0,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Chase Young,Saints,EDGE,27.0,3,2,51.0,33.0,17.0,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Kwity Paye,Raiders,EDGE,28.0,3,3,48.0,31.238,16.0,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Rashan Gary,Cowboys,EDGE,29.0,2,2,32.0,16.0,16.0,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Dayo Odeyingbo,Bears,EDGE,27.0,3,2,48.0,32.0,16.0,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Arik Armstead,Jaguars,EDGE,33.0,3,1,43.5,28.0,14.5,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Harold Landry,Patriots,EDGE,30.0,3,2,43.5,26.0,14.5,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Bradley Chubb,Bills,EDGE,30.0,3,3,43.5,21.75,14.5,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Derick Hall,Seahawks,EDGE,25.0,3,4,42.0,21.0,14.0,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
David Bailey,Jets,EDGE,23.0,4,4,54.674726,54.674726,13.668682,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Jonathon Cooper,Broncos,EDGE,28.0,4,3,54.0,31.731111,13.5,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Carl Granderson,Saints,EDGE,30.0,4,2,52.0,35.3,13.0,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Arvell Reese,Giants,EDGE,21.0,4,4,47.831062,47.831062,11.957766,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Joseph Ossai,Jets,EDGE,26.0,3,3,34.5,22.49,11.5,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Abdul Carter,Giants,EDGE,22.0,4,3,45.25518,45.25518,11.313795,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Malcolm Koonce,Raiders,EDGE,28.0,1,1,11.01,10.5,11.01,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
K'Lavon Chaisson,Commanders,EDGE,27.0,1,1,11.0,10.3,11.0,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Alex Wright,Browns,EDGE,26.0,3,3,33.0,21.30511,11.0,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Dorance Armstrong Jr.,Commanders,EDGE,29.0,3,1,33.0,22.125,11.0,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Demarcus Lawrence,Seahawks,EDGE,34.0,3,2,32.5,18.0,10.833333,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Frankie Luvu,Commanders,EDGE,30.0,3,1,31.0,19.125,10.333333,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Uchenna Nwosu,Seahawks,EDGE,30.0,2,1,19.51,6.98,9.755,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Kingsley Enagbare,Jets,EDGE,26.0,1,1,9.0,8.49,9.0,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
Jacob Martin,Titans,EDGE,31.0,1,2,9.0,4.5,9.0,2026,,True,https://overthecap.com/position/edge-rusher,2026-07-03T11:19:53.033324
