player_name,team,position,age,years,years_remaining,total_value,guaranteed,aav,signed_year,contract_type,is_active,source,fetched_at
Laremy Tunsil,Commanders,OT,32.0,2,3,60.2,61.5,30.1,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Rashawn Slater,Chargers,OT,27.0,4,4,114.0,92.0,28.5,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Charles Cross,Seahawks,OT,26.0,4,5,104.4,75.0,26.1,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Christian Darrisaw,Vikings,OT,27.0,4,4,104.0,77.516929,26.0,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Bernhard Raimann,Colts,OT,29.0,4,4,100.0,60.0,25.0,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Trent Williams,49ers,OT,38.0,2,2,50.0,48.5,25.0,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Andrew Thomas,Giants,OT,27.0,5,4,117.5,67.0,23.5,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Jake Matthews,Falcons,OT,34.0,2,3,45.0,38.0,22.5,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Jordan Mailata,Eagles,OT,29.0,3,3,66.0,48.0,22.0,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Kolton Miller,Raiders,OT,31.0,3,3,66.0,42.5,22.0,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Dan Moore Jr.,Titans,OT,28.0,4,3,82.0,50.0,20.5,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Garett Bolles,Broncos,OT,34.0,4,3,82.0,41.97,20.5,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Dion Dawkins,Bills,OT,32.0,3,2,60.06,34.955,20.02,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Ronnie Stanley,Ravens,OT,32.0,3,2,60.0,44.0,20.0,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Alaric Jackson,Rams,OT,28.0,3,2,57.75,35.425,19.25,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Cole Van Lanen,Jaguars,OT,28.0,3,3,51.0,32.5,17.0,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Orlando Brown Jr.,Bengals,OT,30.0,2,3,32.0,14.0,16.0,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Colton McKivitz,49ers,OT,30.0,3,3,45.0,27.0,15.0,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Jaylon Moore,Chiefs,OT,28.0,2,1,30.0,21.24,15.0,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Walker Little,Jaguars,OT,27.0,3,2,40.5,25.944256,13.5,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Will Campbell,Patriots,OT,22.0,4,3,43.662098,43.662098,10.915525,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Spencer Fano,Browns,OT,22.0,4,4,32.255828,32.255828,8.063957,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Kelvin Banks Jr.,Saints,OT,22.0,4,3,27.731246,27.731246,6.932812,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Ikem Ekwonu,Panthers,OT,26.0,4,1,27.56805,27.56805,6.892013,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
J.C. Latham,Titans,OT,23.0,4,2,26.045188,26.045188,6.511297,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Olu Fashanu,Jets,OT,24.0,4,2,20.51071,20.51071,5.127678,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Braxton Jones,Bears,OT,27.0,1,1,5.0,3.0,5.0,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Alex Palczewski,Broncos,OT,27.0,2,2,9.5,5.575,4.75,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Vederian Lowe,49ers,OT,27.0,2,2,9.25,5.75,4.625,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Grey Zabel,Seahawks,OT,24.0,4,3,18.47146,18.47146,4.617865,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Taliese Fuaga,Saints,OT,24.0,4,2,17.348158,17.348158,4.33704,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Donovan Jackson,Vikings,OT,24.0,4,3,17.177054,17.177054,4.294264,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Broderick Jones,Steelers,OT,25.0,4,1,16.626364,16.626364,4.156591,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Josh Jones,Seahawks,OT,29.0,1,1,4.0,3.0,4.0,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Rasheed Walker,Panthers,OT,26.0,1,1,4.0,3.215,4.0,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Josh Conerly Jr.,Commanders,OT,23.0,4,3,15.681094,15.681094,3.920274,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Andrew Wylie,Commanders,OT,32.0,2,2,7.5,5.025,3.75,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
Josh Simmons,Chiefs,OT,24.0,4,3,14.675356,14.675356,3.668839,2026,,True,https://overthecap.com/position/left-tackle,2026-07-03T11:19:43.691106
