player_name,team,position,age,years,years_remaining,total_value,guaranteed,aav,signed_year,contract_type,is_active,source,fetched_at
Jordan Stout,Giants,P,28.0,3,3,12.3,7.32,4.1,2026,,True,https://overthecap.com/position/punter,2026-07-03T11:20:02.420928
Michael Dickson,Seahawks,P,30.0,4,4,16.2,10.2,4.05,2026,,True,https://overthecap.com/position/punter,2026-07-03T11:20:02.420928
Logan Cooke,Jaguars,P,31.0,4,4,16.0,10.0,4.0,2026,,True,https://overthecap.com/position/punter,2026-07-03T11:20:02.420928
A.J. Cole,Raiders,P,31.0,4,4,15.8,11.0,3.95,2026,,True,https://overthecap.com/position/punter,2026-07-03T11:20:02.420928
Braden Mann,Eagles,P,29.0,4,4,14.0,8.0,3.5,2026,,True,https://overthecap.com/position/punter,2026-07-03T11:20:02.420928
Ryan Wright,Saints,P,26.0,4,4,14.0,8.0,3.5,2026,,True,https://overthecap.com/position/punter,2026-07-03T11:20:02.420928
Jack Fox,Lions,P,30.0,4,1,13.965,7.645,3.49125,2026,,True,https://overthecap.com/position/punter,2026-07-03T11:20:02.420928
Bryan Anger,Cowboys,P,38.0,2,1,6.4,3.3,3.2,2026,,True,https://overthecap.com/position/punter,2026-07-03T11:20:02.420928
Daniel Whelan,Packers,P,27.0,2,2,6.2,2.1,3.1,2026,,True,https://overthecap.com/position/punter,2026-07-03T11:20:02.420928
Tress Way,Commanders,P,36.0,1,1,3.0375,3.0125,3.0375,2026,,True,https://overthecap.com/position/punter,2026-07-03T11:20:02.420928
Riley Dixon,Buccaneers,P,33.0,2,1,6.0,3.0,3.0,2026,,True,https://overthecap.com/position/punter,2026-07-03T11:20:02.420928
J.K. Scott,Chargers,P,31.0,2,1,6.0,3.15,3.0,2026,,True,https://overthecap.com/position/punter,2026-07-03T11:20:02.420928
Jake Bailey,Falcons,P,29.0,3,3,9.0,5.0,3.0,2026,,True,https://overthecap.com/position/punter,2026-07-03T11:20:02.420928
Tommy Townsend,Titans,P,30.0,2,2,5.0,0.2,2.5,2026,,True,https://overthecap.com/position/punter,2026-07-03T11:20:02.420928
Rigoberto Sanchez,Colts,P,32.0,3,1,7.5,2.5,2.5,2026,,True,https://overthecap.com/position/punter,2026-07-03T11:20:02.420928
Corey Bojorquez,Browns,P,30.0,1,1,2.0,0.9375,2.0,2026,,True,https://overthecap.com/position/punter,2026-07-03T11:20:02.420928
Blake Gillikin,Cardinals,P,28.0,1,1,1.905,0.45,1.905,2026,,True,https://overthecap.com/position/punter,2026-07-03T11:20:02.420928
Sam Martin,Panthers,P,36.0,2,2,3.75,2.0,1.875,2026,,True,https://overthecap.com/position/punter,2026-07-03T11:20:02.420928
Bradley Pinion,Dolphins,P,32.0,1,1,1.4875,1.2625,1.4875,2026,,True,https://overthecap.com/position/punter,2026-07-03T11:20:02.420928
Johnny Hekker,Vikings,P,36.0,1,1,1.4875,1.2625,1.4875,2026,,True,https://overthecap.com/position/punter,2026-07-03T11:20:02.420928
Mitch Wishnowsky,Bills,P,34.0,1,1,1.475,0.15,1.475,2026,,True,https://overthecap.com/position/punter,2026-07-03T11:20:02.420928
Cameron Johnston,Steelers,P,34.0,1,1,1.3,0.0,1.3,2026,,True,https://overthecap.com/position/punter,2026-07-03T11:20:02.420928
Corliss Waitman,49ers,P,31.0,1,1,1.29,0.475,1.29,2026,,True,https://overthecap.com/position/punter,2026-07-03T11:20:02.420928
Tory Taylor,Bears,P,29.0,4,2,4.7679,0.7479,1.191975,2026,,True,https://overthecap.com/position/punter,2026-07-03T11:20:02.420928
Ryan Eckley,Ravens,P,22.0,4,4,4.622848,0.242848,1.155712,2026,,True,https://overthecap.com/position/punter,2026-07-03T11:20:02.420928
Tommy Doman,Bills,P,24.0,4,4,4.512172,0.132172,1.128043,2026,,True,https://overthecap.com/position/punter,2026-07-03T11:20:02.420928
Jeremy Crawshaw,Broncos,P,25.0,4,3,4.37428,0.17428,1.09357,2026,,True,https://overthecap.com/position/punter,2026-07-03T11:20:02.420928
