player_name,team,position,age,years,years_remaining,total_value,guaranteed,aav,signed_year,contract_type,is_active,source,fetched_at
Patrick Mahomes,Chiefs,QB,31.0,7,8,448.0,182.8,64.0,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Dak Prescott,Cowboys,QB,33.0,4,3,240.0,231.0,60.0,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Joe Burrow,Bengals,QB,30.0,5,4,275.0,219.01,55.0,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Josh Allen,Bills,QB,30.0,6,5,330.0,250.0,55.0,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Jordan Love,Packers,QB,28.0,4,3,220.0,160.3,55.0,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Trevor Lawrence,Jaguars,QB,27.0,5,5,275.0,200.0,55.0,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Matt Stafford,Rams,QB,38.0,1,2,55.0,90.0,55.0,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Jared Goff,Lions,QB,32.0,4,3,212.0,170.611832,53.0,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Brock Purdy,49ers,QB,27.0,5,5,265.0,182.55,53.0,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Justin Herbert,Chargers,QB,28.0,5,4,262.5,193.738375,52.5,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Lamar Jackson,Ravens,QB,29.0,5,2,260.0,185.0,52.0,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Jalen Hurts,Eagles,QB,28.0,5,3,255.0,179.304,51.0,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Deshaun Watson,Browns,QB,31.0,5,1,230.0,230.0,46.0,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Daniel Jones,Colts,QB,29.0,2,2,88.0,60.0,44.0,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Sam Darnold,Seahawks,QB,29.0,3,2,100.5,55.0,33.5,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Baker Mayfield,Buccaneers,QB,31.0,3,1,100.0,50.0,33.333333,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Malik Willis,Dolphins,QB,27.0,3,3,67.5,45.0,22.5,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Aaron Rodgers,Steelers,QB,43.0,1,1,22.5,22.0,22.5,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Fernando Mendoza,Raiders,QB,23.0,4,1,57.270598,0.0,14.31765,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Cam Ward,Titans,QB,24.0,4,3,48.839604,48.839604,12.209901,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Kirk Cousins,Raiders,QB,38.0,1,1,11.3,11.3,11.3,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Justin Fields,Chiefs,QB,27.0,1,1,11.0,11.0,11.0,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Caleb Williams,Bears,QB,25.0,4,2,39.486058,39.486058,9.871515,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Bryce Young,Panthers,QB,25.0,4,2,37.955074,37.955074,9.488769,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Jayden Daniels,Commanders,QB,26.0,4,2,37.74665,37.74665,9.436663,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Drake Maye,Patriots,QB,24.0,4,2,36.639764,36.639764,9.159941,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
C.J. Stroud,Texans,QB,25.0,4,2,36.279244,36.279244,9.069811,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Anthony Richardson,Colts,QB,24.0,4,1,33.99403,33.99403,8.498508,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Davis Mills,Texans,QB,28.0,1,1,7.0,10.25,7.0,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Marcus Mariota,Commanders,QB,33.0,1,1,7.0,6.39,7.0,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Ty Simpson,Rams,QB,24.0,4,1,25.412156,0.0,6.353039,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Jacoby Brissett,Cardinals,QB,34.0,2,1,12.5,8.0,6.25,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Joe Flacco,Bengals,QB,41.0,1,1,6.0,4.0,6.0,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Jarrett Stidham,Broncos,QB,30.0,2,1,12.0,6.99,6.0,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Gardner Minshew,Cardinals,QB,30.0,1,1,5.75,5.14,5.75,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Michael Penix Jr.,Falcons,QB,26.0,4,2,22.882636,22.882636,5.720659,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
J.J. McCarthy,Vikings,QB,23.0,4,2,21.854796,21.854796,5.463699,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Mitchell Trubisky,Titans,QB,32.0,2,2,10.5,6.825,5.25,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Tyson Bagent,Bears,QB,26.0,2,2,10.0,6.53,5.0,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
