player_name,team,position,age,years,years_remaining,total_value,guaranteed,aav,signed_year,contract_type,is_active,source,fetched_at
Tristan Wirfs,Buccaneers,OT,27.0,5,4,140.625,88.244,28.125,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Penei Sewell,Lions,OT,26.0,4,4,112.0,85.0,28.0,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Lane Johnson,Eagles,OT,36.0,1,2,25.0,40.0,25.0,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Tytus Howard,Browns,OT,30.0,2,3,45.0,34.5,22.5,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Zach Tom,Packers,OT,27.0,4,4,88.0,30.2,22.0,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Taylor Moton,Panthers,OT,32.0,2,2,44.0,39.8,22.0,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Brian O'Neill,Vikings,OT,31.0,5,1,92.5,49.076118,18.5,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Spencer Brown,Bills,OT,28.0,4,3,72.0,33.395,18.0,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Mike McGlinchey,Broncos,OT,31.0,5,2,87.5,52.5,17.5,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Abraham Lucas,Seahawks,OT,28.0,3,3,46.0,20.0,15.333333,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Jermaine Eluemunor,Giants,OT,32.0,3,3,39.0,25.45,13.0,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Terence Steele,Cowboys,OT,29.0,3,3,33.0,10.5,11.0,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Braden Smith,Texans,OT,30.0,2,2,20.0,13.5,10.0,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Joe Alt,Chargers,OT,23.0,4,2,33.160944,33.160944,8.290236,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
