player_name,team,position,age,years,years_remaining,total_value,guaranteed,aav,signed_year,contract_type,is_active,source,fetched_at
Saquon Barkley,Eagles,RB,29.0,2,3,41.2,36.0,20.6,2026,,True,https://overthecap.com/position/running-back,2026-07-03T11:19:39.907712
Christian McCaffrey,49ers,RB,30.0,2,2,38.0,24.0,19.0,2026,,True,https://overthecap.com/position/running-back,2026-07-03T11:19:39.907712
Devon Achane,Dolphins,RB,25.0,4,5,64.0,27.378,16.0,2026,,True,https://overthecap.com/position/running-back,2026-07-03T11:19:39.907712
Derrick Henry,Ravens,RB,32.0,2,2,30.0,25.0,15.0,2026,,True,https://overthecap.com/position/running-back,2026-07-03T11:19:39.907712
Breece Hall,Jets,RB,25.0,3,3,43.5,29.0,14.5,2026,,True,https://overthecap.com/position/running-back,2026-07-03T11:19:39.907712
Kenneth Walker III,Chiefs,RB,26.0,3,3,43.05,28.7,14.35,2026,,True,https://overthecap.com/position/running-back,2026-07-03T11:19:39.907712
Jonathan Taylor,Colts,RB,27.0,3,1,42.0,26.5,14.0,2026,,True,https://overthecap.com/position/running-back,2026-07-03T11:19:39.907712
Jeremiyah Love,Cardinals,RB,21.0,4,4,53.022816,53.022816,13.255704,2026,,True,https://overthecap.com/position/running-back,2026-07-03T11:19:39.907712
Alvin Kamara,Saints,RB,31.0,2,1,24.5,22.233333,12.25,2026,,True,https://overthecap.com/position/running-back,2026-07-03T11:19:39.907712
Josh Jacobs,Packers,RB,28.0,4,2,48.0,12.5,12.0,2026,,True,https://overthecap.com/position/running-back,2026-07-03T11:19:39.907712
Travis Etienne,Saints,RB,27.0,4,4,48.0,28.0,12.0,2026,,True,https://overthecap.com/position/running-back,2026-07-03T11:19:39.907712
James Cook,Bills,RB,27.0,4,4,46.0,30.0,11.5,2026,,True,https://overthecap.com/position/running-back,2026-07-03T11:19:39.907712
Kyren Williams,Rams,RB,26.0,3,3,33.0,23.0,11.0,2026,,True,https://overthecap.com/position/running-back,2026-07-03T11:19:39.907712
Rhamondre Stevenson,Patriots,RB,28.0,4,3,36.0,17.116,9.0,2026,,True,https://overthecap.com/position/running-back,2026-07-03T11:19:39.907712
Ashton Jeanty,Raiders,RB,23.0,4,3,35.895812,35.895812,8.973953,2026,,True,https://overthecap.com/position/running-back,2026-07-03T11:19:39.907712
Chuba Hubbard,Panthers,RB,27.0,4,3,33.2,16.558,8.3,2026,,True,https://overthecap.com/position/running-back,2026-07-03T11:19:39.907712
