player_name,team,position,age,years,years_remaining,total_value,guaranteed,aav,signed_year,contract_type,is_active,source,fetched_at
Derwin James,Chargers,S,30.0,3,4,75.6,54.5,25.2,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Kyle Hamilton,Ravens,S,25.0,4,5,100.4,82.022604,25.1,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Kerby Joseph,Lions,S,26.0,4,4,85.0,36.121,21.25,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
"Antoine Winfield, Jr.",Buccaneers,S,28.0,4,2,84.1,45.0,21.025,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Budda Baker,Cardinals,S,30.0,3,2,54.0,29.366667,18.0,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Trevon Moehrig,Panthers,S,27.0,3,2,51.0,34.5,17.0,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Xavier McKinney,Packers,S,27.0,4,2,67.0,23.0,16.75,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Jessie Bates III,Falcons,S,29.0,4,1,64.02,36.0,16.005,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Jevon Holland,Giants,S,26.0,3,2,45.3,30.3,15.1,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Cam Bynum,Colts,S,28.0,4,3,60.0,32.0,15.0,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Amani Hooker,Titans,S,28.0,3,3,40.5,29.0,13.5,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Bryan Cook,Bengals,S,27.0,3,3,40.25,14.0,13.416667,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Minkah Fitzpatrick,Jets,S,30.0,3,5,40.0,20.5,13.333333,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Coby Bryant,Bears,S,27.0,3,3,40.0,25.75,13.333333,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Talanoa Hufanga,Broncos,S,26.0,3,2,39.0,20.0,13.0,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Quentin Lake,Rams,S,27.0,3,3,38.25,25.5,12.75,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Grant Delpit,Browns,S,28.0,3,1,36.0,23.59677,12.0,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Kamren Curl,Rams,S,27.0,3,3,36.0,24.0,12.0,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Josh Metellus,Vikings,S,28.0,3,3,36.0,25.0,12.0,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Jalen Thompson,Cowboys,S,28.0,3,3,33.0,22.0,11.0,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Julian Love,Seahawks,S,28.0,3,2,33.0,18.68,11.0,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Justin Reid,Saints,S,29.0,3,2,31.5,22.25,10.5,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Reed Blankenship,Texans,S,27.0,3,3,24.75,16.5,8.25,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Jeremy Chinn,Raiders,S,28.0,2,1,16.258,12.25,8.129,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Alohi Gilman,Chiefs,S,29.0,3,3,24.0,15.0,8.0,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Caleb Downs,Cowboys,S,22.0,4,4,28.951992,28.951992,7.237998,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Kevin Byard,Patriots,S,33.0,1,1,7.0,6.17,7.0,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
