player_name,team,position,age,years,years_remaining,total_value,guaranteed,aav,signed_year,contract_type,is_active,source,fetched_at
George Kittle,49ers,TE,33.0,4,4,76.4,35.0,19.1,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Trey McBride,Cardinals,TE,27.0,4,4,76.0,43.0,19.0,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Kyle Pitts,Falcons,TE,26.0,1,1,15.045,15.045,15.045,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Isaiah Likely,Giants,TE,26.0,3,3,40.0,26.0,13.333333,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Mark Andrews,Ravens,TE,31.0,3,3,39.267,25.944444,13.089,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Dalton Schultz,Texans,TE,30.0,1,2,12.6,17.6,12.6,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Cole Kmet,Bears,TE,27.0,4,2,50.0,32.793,12.5,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Jake Ferguson,Cowboys,TE,27.0,4,4,50.0,30.0,12.5,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Pat Freiermuth,Steelers,TE,28.0,4,3,48.4,22.385,12.1,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Brenton Strange,Jaguars,TE,26.0,3,4,36.0,25.0,12.0,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Travis Kelce,Chiefs,TE,37.0,1,1,12.0,12.0,12.0,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Evan Engram,Broncos,TE,32.0,2,1,23.0,16.5,11.5,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Darnell Washington,Steelers,TE,25.0,4,5,42.0,20.25,10.5,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
T.J. Hockenson,Vikings,TE,29.0,1,1,10.25,10.15,10.25,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Juwan Johnson,Saints,TE,30.0,3,2,30.75,21.25,10.25,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Cade Otton,Buccaneers,TE,27.0,3,3,30.0,20.0,10.0,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Hunter Henry,Patriots,TE,32.0,3,1,27.0,15.8,9.0,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Chigoziem Okonkwo,Commanders,TE,27.0,3,3,27.0,16.7,9.0,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Mike Gesicki,Bengals,TE,31.0,3,2,25.5,6.5,8.5,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Charlie Kolar,Chargers,TE,27.0,3,3,24.3,17.0,8.1,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Josh Oliver,Vikings,TE,29.0,3,3,23.25,19.745,7.75,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Colby Parkinson,Rams,TE,27.0,3,1,22.5,15.5,7.5,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Dallas Goedert,Eagles,TE,31.0,1,1,7.0,7.0,7.0,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
John Bates,Commanders,TE,29.0,3,2,21.0,11.52,7.0,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Daniel Bellinger,Titans,TE,26.0,3,3,21.0,14.01,7.0,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Dawson Knox,Bills,TE,30.0,3,3,20.0,13.46,6.666667,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Colston Loveland,Bears,TE,22.0,4,3,26.636008,26.636008,6.659002,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Noah Gray,Chiefs,TE,27.0,3,2,18.0,10.016,6.0,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Adam Trautman,Broncos,TE,29.0,3,3,17.0,9.5,5.666667,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Kenyon Sadiq,Jets,TE,21.0,4,4,22.344304,22.344304,5.586076,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Tommy Tremble,Panthers,TE,26.0,2,1,10.5,8.0,5.25,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Tyler Warren,Colts,TE,24.0,4,3,20.96065,20.96065,5.240163,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Julian Hill,Patriots,TE,26.0,3,3,15.0,7.5,5.0,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Jeremy Ruckert,Jets,TE,26.0,2,2,10.0,4.972157,5.0,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Brock Bowers,Raiders,TE,24.0,4,2,18.138784,18.138784,4.534696,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Noah Fant,Saints,TE,29.0,2,2,8.75,4.5,4.375,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Brock Wright,Lions,TE,28.0,3,1,12.0,6.05,4.0,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Charlie Woerner,Falcons,TE,29.0,3,1,12.0,6.57,4.0,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Jake Tonges,49ers,TE,27.0,2,2,8.0,5.5,4.0,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Luke Farrell,49ers,TE,29.0,2,2,8.0,4.03,4.0,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Drew Sample,Bengals,TE,30.0,3,1,10.5,2.35,3.5,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Dalton Kincaid,Bills,TE,27.0,4,2,13.42704,13.42704,3.35676,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Greg Dulcich,Dolphins,TE,26.0,1,1,3.25,2.91,3.25,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Austin Hooper,Falcons,TE,32.0,1,1,3.25,2.74,3.25,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Foster Moreau,Texans,TE,29.0,2,2,6.3,3.0,3.15,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
David Njoku,Chargers,TE,30.0,1,1,3.0,0.85,3.0,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Durham Smythe,Ravens,TE,31.0,1,1,3.0,2.0,3.0,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Tyler Higbee,Rams,TE,33.0,2,2,6.0,4.0,3.0,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Mo Alie-Cox,Colts,TE,33.0,1,1,2.6875,2.1875,2.6875,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Mason Taylor,Jets,TE,22.0,4,3,10.466192,9.559309,2.616548,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Hunter Long,Jaguars,TE,28.0,2,1,5.0,3.0,2.5,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Eric Saubert,Seahawks,TE,32.0,1,1,2.5,1.288888,2.5,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Terrance Ferguson,Rams,TE,23.0,4,3,9.713466,8.046753,2.428367,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Brady Russell,Seahawks,TE,28.0,2,2,4.8,2.145,2.4,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Sam LaPorta,Lions,TE,25.0,4,1,9.465998,7.825179,2.3665,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Michael Mayer,Raiders,TE,25.0,4,1,9.313638,7.596697,2.32841,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Andrew Ogletree,Colts,TE,28.0,1,1,2.25,1.5,2.25,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Connor Heyward,Raiders,TE,27.0,2,2,4.5,2.0,2.25,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Eli Stowers,Eagles,TE,,4,4,8.892964,7.277752,2.223241,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Elijah Arroyo,Seahawks,TE,23.0,4,3,8.813372,6.872548,2.203343,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Nate Boerkircher,Jaguars,TE,,4,4,8.538996,6.737771,2.134749,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Luke Musgrave,Packers,TE,26.0,4,1,8.475742,6.348437,2.118936,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Marlin Klein,Texans,TE,,4,4,8.184982,6.243882,2.046246,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Max Klare,Rams,TE,,4,4,8.019796,5.976625,2.004949,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Grant Calcaterra,Eagles,TE,28.0,1,1,2.0,0.7,2.0,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Quintin Morris,Jaguars,TE,27.0,1,1,2.0,1.7,2.0,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
