player_name,team,position,age,years,years_remaining,total_value,guaranteed,aav,signed_year,contract_type,is_active,source,fetched_at
Jaxon Smith-Njigba,Seahawks,WR,24.0,4,6,168.6,120.067996,42.15,2026,,True,https://overthecap.com/position/wide-receiver,2026-07-03T11:19:38.039799
Ja'Marr Chase,Bengals,WR,26.0,4,4,161.0,109.8,40.25,2026,,True,https://overthecap.com/position/wide-receiver,2026-07-03T11:19:38.039799
Drake London,Falcons,WR,25.0,4,5,141.054,100.0,35.2635,2026,,True,https://overthecap.com/position/wide-receiver,2026-07-03T11:19:38.039799
Justin Jefferson,Vikings,WR,27.0,4,3,140.0,110.0,35.0,2026,,True,https://overthecap.com/position/wide-receiver,2026-07-03T11:19:38.039799
CeeDee Lamb,Cowboys,WR,27.0,4,3,136.0,100.0,34.0,2026,,True,https://overthecap.com/position/wide-receiver,2026-07-03T11:19:38.039799
D.K. Metcalf,Steelers,WR,29.0,4,4,131.999529,80.000471,32.999882,2026,,True,https://overthecap.com/position/wide-receiver,2026-07-03T11:19:38.039799
Garrett Wilson,Jets,WR,26.0,4,5,130.0,90.0,32.5,2026,,True,https://overthecap.com/position/wide-receiver,2026-07-03T11:19:38.039799
A.J. Brown,Patriots,WR,29.0,3,4,96.0,84.0,32.0,2026,,True,https://overthecap.com/position/wide-receiver,2026-07-03T11:19:38.039799
Amon-Ra St. Brown,Lions,WR,27.0,4,3,120.01,77.0,30.0025,2026,,True,https://overthecap.com/position/wide-receiver,2026-07-03T11:19:38.039799
Brandon Aiyuk,49ers,WR,28.0,4,3,120.0,76.0,30.0,2026,,True,https://overthecap.com/position/wide-receiver,2026-07-03T11:19:38.039799
Nico Collins,Texans,WR,27.0,2,2,60.0,57.0,30.0,2026,,True,https://overthecap.com/position/wide-receiver,2026-07-03T11:19:38.039799
Terry McLaurin,Commanders,WR,31.0,3,3,87.0,50.0,29.0,2026,,True,https://overthecap.com/position/wide-receiver,2026-07-03T11:19:38.039799
Tee Higgins,Bengals,WR,27.0,4,3,115.0,40.9,28.75,2026,,True,https://overthecap.com/position/wide-receiver,2026-07-03T11:19:38.039799
Alec Pierce,Colts,WR,26.0,4,4,114.0,84.0,28.5,2026,,True,https://overthecap.com/position/wide-receiver,2026-07-03T11:19:38.039799
Jaylen Waddle,Broncos,WR,28.0,3,3,84.75,76.0,28.25,2026,,True,https://overthecap.com/position/wide-receiver,2026-07-03T11:19:38.039799
D.J. Moore,Bills,WR,29.0,4,4,110.0,82.635,27.5,2026,,True,https://overthecap.com/position/wide-receiver,2026-07-03T11:19:38.039799
George Pickens,Cowboys,WR,25.0,1,1,27.298,27.298,27.298,2026,,True,https://overthecap.com/position/wide-receiver,2026-07-03T11:19:38.039799
Jameson Williams,Lions,WR,25.0,3,4,80.0,66.129154,26.666667,2026,,True,https://overthecap.com/position/wide-receiver,2026-07-03T11:19:38.039799
