player_name,espn_id,team,position,season,category,fetched_at,GP,SOLO,AST,TOT,TFL,PD,FF,FR,FTD,SACKS,INT_DEF,DEF_YDS,DEF_TD,DEF_LNG
Vic Beasley,2512400,ATL,DE,2016,defense_sacks,2026-07-03T11:33:48.802896,16.0,32.0,7.0,39.0,19.0,2.0,6.0,1.0,1.0,15.5,0.0,0.0,0.0,0.0
Von Miller,13976,DEN,LB,2016,defense_sacks,2026-07-03T11:33:48.802896,16.0,62.0,16.0,78.0,17.0,3.0,3.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0
Lorenzo Alexander,9424,BUF,LB,2016,defense_sacks,2026-07-03T11:33:48.802896,16.0,56.0,20.0,76.0,15.0,6.0,3.0,0.0,0.0,12.5,1.0,28.0,0.0,28.0
Markus Golden,2971432,ARI,LB,2016,defense_sacks,2026-07-03T11:33:48.802896,16.0,41.0,10.0,51.0,20.0,1.0,4.0,1.0,0.0,12.5,0.0,0.0,0.0,0.0
Danielle Hunter,2976560,MIN,DE,2016,defense_sacks,2026-07-03T11:33:48.802896,16.0,34.0,22.0,56.0,14.0,1.0,1.0,1.0,1.0,12.5,0.0,0.0,0.0,0.0
Cliff Avril,11326,SEA,DE,2016,defense_sacks,2026-07-03T11:33:48.802896,16.0,20.0,19.0,39.0,12.0,3.0,5.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0
Cameron Wake,12417,MIA,DE,2016,defense_sacks,2026-07-03T11:33:48.802896,16.0,22.0,7.0,29.0,13.0,2.0,5.0,0.0,0.0,11.5,1.0,12.0,0.0,12.0
Erik Walden,11401,IND,LB,2016,defense_sacks,2026-07-03T11:33:48.802896,16.0,31.0,11.0,42.0,13.0,0.0,3.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
Ryan Kerrigan,13973,WSH,DE,2016,defense_sacks,2026-07-03T11:33:48.802896,16.0,25.0,8.0,33.0,16.0,2.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
Chandler Jones,14927,ARI,DE,2016,defense_sacks,2026-07-03T11:33:48.802896,16.0,38.0,11.0,49.0,18.0,3.0,4.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0
Nick Perry,14929,GB,LB,2016,defense_sacks,2026-07-03T11:33:48.802896,14.0,35.0,17.0,52.0,15.0,4.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0
Khalil Mack,16710,OAK,LB,2016,defense_sacks,2026-07-03T11:33:48.802896,16.0,54.0,19.0,73.0,20.0,3.0,5.0,3.0,0.0,11.0,1.0,6.0,1.0,6.0
Brian Orakpo,12439,TEN,LB,2016,defense_sacks,2026-07-03T11:33:48.802896,16.0,38.0,8.0,46.0,13.0,4.0,1.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0
Joey Bosa,3051389,SD,DE,2016,defense_sacks,2026-07-03T11:33:48.802896,12.0,29.0,12.0,41.0,18.0,0.0,1.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0
Dee Ford,16707,KC,DE,2016,defense_sacks,2026-07-03T11:33:48.802896,15.0,25.0,13.0,38.0,13.0,2.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
Frank Clark,2576242,SEA,LB,2016,defense_sacks,2026-07-03T11:33:48.802896,15.0,25.0,22.0,47.0,16.0,0.0,2.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0
Mario Addison,14320,CAR,DE,2016,defense_sacks,2026-07-03T11:33:48.802896,14.0,22.0,5.0,27.0,12.0,1.0,2.0,1.0,0.0,9.5,0.0,0.0,0.0,0.0
Derrick Morgan,13248,TEN,LB,2016,defense_sacks,2026-07-03T11:33:48.802896,15.0,24.0,9.0,33.0,12.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
Geno Atkins,13311,CIN,DT,2016,defense_sacks,2026-07-03T11:33:48.802896,16.0,21.0,11.0,32.0,14.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
Trent Murphy,16751,WSH,DE,2016,defense_sacks,2026-07-03T11:33:48.802896,16.0,29.0,18.0,47.0,15.0,1.0,3.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0
Olivier Vernon,14982,NYG,DE,2016,defense_sacks,2026-07-03T11:33:48.802896,16.0,44.0,19.0,63.0,17.0,0.0,1.0,1.0,0.0,8.5,0.0,0.0,0.0,0.0
Terrell Suggs,4468,BAL,DE,2016,defense_sacks,2026-07-03T11:33:48.802896,15.0,28.0,7.0,35.0,14.0,4.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
Calais Campbell,11284,ARI,DE,2016,defense_sacks,2026-07-03T11:33:48.802896,16.0,34.0,19.0,53.0,15.0,6.0,2.0,3.0,1.0,8.0,1.0,1.0,0.0,1.0
Carlos Dunlap,13274,CIN,DE,2016,defense_sacks,2026-07-03T11:33:48.802896,16.0,30.0,19.0,49.0,9.0,15.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
Everson Griffen,13373,MIN,DE,2016,defense_sacks,2026-07-03T11:33:48.802896,16.0,36.0,12.0,48.0,9.0,1.0,2.0,3.0,1.0,8.0,0.0,0.0,0.0,0.0
Melvin Ingram,14926,SD,LB,2016,defense_sacks,2026-07-03T11:33:48.802896,16.0,46.0,14.0,60.0,15.0,5.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
Aaron Donald,16716,LAR,DT,2016,defense_sacks,2026-07-03T11:33:48.802896,16.0,35.0,12.0,47.0,20.0,5.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
