player_name,espn_id,team,position,season,category,fetched_at,POS,GP,ATT,LNG,BIG,YDS/G,FUM,LST,FD,RUSH_YDS,RUSH_TD,RUSH_AVG
Ezekiel Elliott,3051392,1,,2016,rushing,2026-07-03T11:22:13.800268,,15.0,322.0,60.0,14.0,108.7,5.0,1.0,91.0,1631.0,15.0,5.1
Jordan Howard,3060022,2,,2016,rushing,2026-07-03T11:22:13.800268,,15.0,252.0,69.0,10.0,87.5,1.0,1.0,70.0,1313.0,6.0,5.2
DeMarco Murray,14005,3,,2016,rushing,2026-07-03T11:22:13.800268,,16.0,293.0,75.0,4.0,80.4,3.0,1.0,64.0,1287.0,9.0,4.4
Jay Ajayi,2573300,4,,2016,rushing,2026-07-03T11:22:13.800268,,15.0,260.0,62.0,10.0,84.8,4.0,1.0,60.0,1272.0,8.0,4.9
Le'Veon Bell,15825,5,,2016,rushing,2026-07-03T11:22:13.800268,,12.0,261.0,44.0,4.0,105.7,3.0,1.0,69.0,1268.0,7.0,4.9
LeSean McCoy,12514,6,,2016,rushing,2026-07-03T11:22:13.800268,,15.0,234.0,75.0,11.0,84.5,3.0,0.0,55.0,1267.0,13.0,5.4
David Johnson,2508176,7,,2016,rushing,2026-07-03T11:22:13.800268,,16.0,293.0,58.0,6.0,77.4,5.0,3.0,72.0,1239.0,16.0,4.2
LeGarrette Blount,13213,8,,2016,rushing,2026-07-03T11:22:13.800268,,16.0,299.0,44.0,7.0,72.6,2.0,1.0,67.0,1161.0,18.0,3.9
Devonta Freeman,16944,9,,2016,rushing,2026-07-03T11:22:13.800268,,16.0,227.0,75.0,7.0,67.4,1.0,1.0,61.0,1079.0,11.0,4.8
Lamar Miller,14886,10,,2016,rushing,2026-07-03T11:22:13.800268,,14.0,268.0,45.0,7.0,76.6,2.0,1.0,52.0,1073.0,5.0,4.0
Mark Ingram II,13981,11,,2016,rushing,2026-07-03T11:22:13.800268,,16.0,205.0,75.0,4.0,65.2,2.0,2.0,49.0,1043.0,6.0,5.1
