player_name,espn_id,team,position,season,category,fetched_at,GP,REC,TGTS,BIG,YDS/G,FUM,LST,YAC,FD,REC_YDS,REC_TD,REC_AVG,REC_LNG
Justin Jefferson,4262921,MIN,WR,2022,receiving,2026-07-03T11:41:35.354918,17.0,128.0,184.0,28.0,106.4,0.0,0.0,613.0,80.0,1809.0,8.0,14.1,64.0
Tyreek Hill,3116406,MIA,WR,2022,receiving,2026-07-03T11:41:35.354918,17.0,119.0,170.0,25.0,100.6,1.0,0.0,482.0,77.0,1710.0,7.0,14.4,64.0
Davante Adams,16800,LV,WR,2022,receiving,2026-07-03T11:41:35.354918,17.0,100.0,180.0,24.0,89.2,1.0,0.0,493.0,65.0,1516.0,14.0,15.2,60.0
A.J. Brown,4047646,PHI,WR,2022,receiving,2026-07-03T11:41:35.354918,17.0,88.0,145.0,23.0,88.0,2.0,2.0,548.0,59.0,1496.0,11.0,17.0,78.0
Stefon Diggs,2976212,BUF,WR,2022,receiving,2026-07-03T11:41:35.354918,16.0,108.0,154.0,17.0,89.3,1.0,0.0,419.0,72.0,1429.0,11.0,13.2,53.0
CeeDee Lamb,4241389,DAL,WR,2022,receiving,2026-07-03T11:41:35.354918,17.0,107.0,156.0,24.0,79.9,0.0,0.0,486.0,67.0,1359.0,9.0,12.7,39.0
Jaylen Waddle,4372016,MIA,WR,2022,receiving,2026-07-03T11:41:35.354918,17.0,75.0,117.0,21.0,79.8,1.0,1.0,510.0,60.0,1356.0,8.0,18.1,84.0
Travis Kelce,15847,KC,TE,2022,receiving,2026-07-03T11:41:35.354918,17.0,110.0,152.0,19.0,78.7,1.0,1.0,648.0,78.0,1338.0,12.0,12.2,52.0
DeVonta Smith,4241478,PHI,WR,2022,receiving,2026-07-03T11:41:35.354918,17.0,95.0,136.0,18.0,70.4,1.0,1.0,476.0,57.0,1196.0,7.0,12.6,45.0
Terry McLaurin,3121422,WSH,WR,2022,receiving,2026-07-03T11:41:35.354918,17.0,77.0,120.0,16.0,70.1,0.0,0.0,394.0,56.0,1191.0,5.0,15.5,52.0
Amon-Ra St. Brown,4374302,DET,WR,2022,receiving,2026-07-03T11:41:35.354918,16.0,106.0,146.0,11.0,72.6,0.0,0.0,526.0,68.0,1161.0,6.0,11.0,49.0
Amari Cooper,2976499,CLE,WR,2022,receiving,2026-07-03T11:41:35.354918,17.0,78.0,132.0,18.0,68.2,0.0,0.0,325.0,61.0,1160.0,9.0,14.9,55.0
Mike Evans,16737,TB,WR,2022,receiving,2026-07-03T11:41:35.354918,15.0,77.0,127.0,19.0,74.9,0.0,0.0,216.0,53.0,1124.0,6.0,14.6,63.0
Christian Kirk,3895856,JAX,WR,2022,receiving,2026-07-03T11:41:35.354918,17.0,84.0,133.0,18.0,65.2,1.0,1.0,377.0,54.0,1108.0,8.0,13.2,49.0
Garrett Wilson,4569618,NYJ,WR,2022,receiving,2026-07-03T11:41:35.354918,17.0,83.0,147.0,13.0,64.9,1.0,1.0,384.0,56.0,1103.0,4.0,13.3,60.0
DK Metcalf,4047650,SEA,WR,2022,receiving,2026-07-03T11:41:35.354918,17.0,90.0,141.0,11.0,61.6,2.0,2.0,217.0,47.0,1048.0,6.0,11.6,54.0
Ja'Marr Chase,4362628,CIN,WR,2022,receiving,2026-07-03T11:41:35.354918,12.0,87.0,134.0,13.0,87.2,2.0,2.0,436.0,58.0,1046.0,9.0,12.0,60.0
Chris Olave,4361370,NO,WR,2022,receiving,2026-07-03T11:41:35.354918,15.0,72.0,119.0,13.0,69.5,2.0,2.0,210.0,48.0,1042.0,4.0,14.5,53.0
Tyler Lockett,2577327,SEA,WR,2022,receiving,2026-07-03T11:41:35.354918,16.0,84.0,117.0,14.0,64.6,1.0,1.0,274.0,50.0,1033.0,9.0,12.3,40.0
Tee Higgins,4239993,CIN,WR,2022,receiving,2026-07-03T11:41:35.354918,16.0,74.0,109.0,14.0,64.3,0.0,0.0,286.0,46.0,1029.0,7.0,13.9,59.0
Chris Godwin Jr.,3116165,TB,WR,2022,receiving,2026-07-03T11:41:35.354918,15.0,104.0,142.0,10.0,68.2,2.0,2.0,531.0,53.0,1023.0,3.0,9.8,44.0
Brandon Aiyuk,4360438,SF,WR,2022,receiving,2026-07-03T11:41:35.354918,17.0,78.0,114.0,17.0,59.7,1.0,1.0,388.0,47.0,1015.0,8.0,13.0,54.0
Jerry Jeudy,4241463,DEN,WR,2022,receiving,2026-07-03T11:41:35.354918,15.0,67.0,100.0,14.0,64.8,0.0,0.0,392.0,41.0,972.0,6.0,14.5,67.0
JuJu Smith-Schuster,3120348,KC,WR,2022,receiving,2026-07-03T11:41:35.354918,16.0,78.0,101.0,9.0,58.3,3.0,2.0,465.0,47.0,933.0,3.0,12.0,53.0
Michael Pittman Jr.,4035687,IND,WR,2022,receiving,2026-07-03T11:41:35.354918,16.0,99.0,141.0,8.0,57.8,2.0,1.0,357.0,51.0,925.0,4.0,9.3,28.0
T.J. Hockenson,4036133,MIN/DET,TE,2022,receiving,2026-07-03T11:41:35.354918,17.0,86.0,129.0,5.0,53.8,1.0,1.0,413.0,44.0,914.0,6.0,10.6,81.0
Mike Williams,3045138,LAC,WR,2022,receiving,2026-07-03T11:41:35.354918,13.0,63.0,93.0,11.0,68.8,0.0,0.0,319.0,39.0,895.0,4.0,14.2,55.0
